"","Group","variable","n","min","max","median","iqr","mean","sd","se","ci"
"1","WT","WT.Norm.NE.mean",53,0.579,1.349,1.001,0.133,1,0.12,0.016,0.033
"2","deltaAH","WT.Norm.NE.mean",31,0.562,0.996,0.72,0.145,0.767,0.107,0.019,0.039
