"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Group","Treatment"
"88","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_13_R3D_D3D_nucleus_9_substack_frame_2",410.84,401.55,1.02,0.98,2.48,6.59,3.38,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_13_R3D_D3D_nucleus_9",99.9610705596107,161.915322580645,1.61978379857475,0.617366342890884,"pCUP-Cdc5[WT]","CuSO4"
"89","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_10_substack_frame_1",553.26,375.77,1.47,0.68,2.76,6.87,3.67,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_10",134.613138686131,136.148550724638,1.01140610830037,0.988722523814361,"pCUP-Cdc5[WT]","CuSO4"
"90","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_10_substack_frame_2",355.23,450.73,0.79,1.27,2.48,6.31,3.35,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_10",92.7493472584857,181.745967741935,1.9595390492121,0.510324099130398,"pCUP-Cdc5[WT]","CuSO4"
"91","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_11_substack_frame_1",508.91,265.34,1.92,0.52,3.04,7.4,4.09,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_11",116.72247706422,87.2828947368421,0.747781377950191,1.33728925256361,"pCUP-Cdc5[WT]","CuSO4"
"92","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_11_substack_frame_2",518.39,548.9,0.94,1.06,2.9,7.01,3.8,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_11",126.12895377129,189.275862068966,1.50065354868622,0.666376327084605,"pCUP-Cdc5[WT]","CuSO4"
"93","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_2_substack_frame_1",622.42,259.6,2.4,0.42,2.56,6.76,3.49,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_2",148.195238095238,101.40625,0.684274685903409,1.46140142343532,"pCUP-Cdc5[WT]","CuSO4"
"94","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_2_substack_frame_2",449.46,439.62,1.02,0.98,2.76,7.02,3.71,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_2",105.507042253521,159.282608695652,1.50968698670288,0.662388964605155,"pCUP-Cdc5[WT]","CuSO4"
"95","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_3_substack_frame_1",347.53,246.88,1.41,0.71,2.39,6.31,3.23,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_3",88.655612244898,103.297071129707,1.16514982542069,0.85825872191067,"pCUP-Cdc5[WT]","CuSO4"
"96","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_3_substack_frame_2",299.89,358.61,0.84,1.2,2.58,6.49,3.44,0,"Post","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_3",76.6982097186701,138.996124031008,1.81224730721678,0.551801068219427,"pCUP-Cdc5[WT]","CuSO4"
"97","210501_29071_CuSO4_measurements.csv","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_4_substack_frame_1",457.91,286.6,1.6,0.63,3.15,7.44,4.15,0,"Pre","210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_14_R3D_D3D_nucleus_4",106.738927738928,90.984126984127,0.852398735039429,1.17315988268535,"pCUP-Cdc5[WT]","CuSO4"
