"","Time.point","Sample","variable","statistic","p"
"1","-45 min","Nup60-GFP_WT","WTpre.Norm.Nuc.NE.Ratio",0.979911189387476,0.756282804825306
"2","-45 min","Nup60-GFP_delta2-47","WTpre.Norm.Nuc.NE.Ratio",0.977507250160851,0.740385254599508
"3","-10 min","Nup60-GFP_WT","WTpre.Norm.Nuc.NE.Ratio",0.986755125762306,0.941082231704651
"4","-10 min","Nup60-GFP_delta2-47","WTpre.Norm.Nuc.NE.Ratio",0.979901055666975,0.809940709090504
"5","Anaphase I","Nup60-GFP_WT","WTpre.Norm.Nuc.NE.Ratio",0.965993482740123,0.342955259354703
"6","Anaphase I","Nup60-GFP_delta2-47","WTpre.Norm.Nuc.NE.Ratio",0.975776752476583,0.68827381913369
"7","+10 min","Nup60-GFP_WT","WTpre.Norm.Nuc.NE.Ratio",0.925314953733401,0.0203458223895858
"8","+10 min","Nup60-GFP_delta2-47","WTpre.Norm.Nuc.NE.Ratio",0.960486568801939,0.300527338171284
