,Image,NE1_int,NE2_int,Nuc_int,Nuc_Ratio
35,210821_VariousHighTimeResolutionMovies_01_12_R3D_D3D_nucleus_6_substack_frame_3_middleslice_ROI_1_raw_profile.csv,335.063,235.329,51.0,0.178824387438814
36,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,340.9,272.749,56.0,0.18251476006642234
37,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,312.616,293.195,93.0,0.307026448842956
38,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,226.75,244.548,94.0,0.39889836154619795
39,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,241.126,284.703,45.0,0.17115830431566156
40,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,226.258,143.223,54.0,0.29230190456342814
41,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,136.298,205.773,45.0,0.263103273881738
42,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_3_substack_frame_1_middleslice_ROI_1_raw_profile.csv,288.551,235.25,68.0,0.25964058869685247
43,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_3_substack_frame_2_middleslice_ROI_1_raw_profile.csv,251.314,204.991,35.0,0.15340616473630575
44,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_3_substack_frame_3_middleslice_ROI_1_raw_profile.csv,203.112,238.667,49.0,0.2218303721996745
45,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_4_substack_frame_1_middleslice_ROI_1_raw_profile.csv,374.441,366.589,77.0,0.2078188467403479
46,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_4_substack_frame_2_middleslice_ROI_1_raw_profile.csv,197.831,268.831,74.0,0.31714602860314317
47,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_4_substack_frame_3_middleslice_ROI_1_raw_profile.csv,211.585,224.897,77.0,0.3528209639801871
48,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_5_substack_frame_1_middleslice_ROI_1_raw_profile.csv,248.886,309.345,36.0,0.1289788635887294
49,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_5_substack_frame_2_middleslice_ROI_1_raw_profile.csv,286.809,229.032,68.0,0.2636471315773659
50,210821_VariousHighTimeResolutionMovies_01_13_R3D_D3D_nucleus_5_substack_frame_3_middleslice_ROI_1_raw_profile.csv,250.425,238.775,54.0,0.22076860179885524
51,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,233.748,267.349,60.0,0.23947459274352073
52,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,223.694,220.602,62.0,0.27909321713452295
53,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,258.735,195.376,72.0,0.31710308713067953
54,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,328.495,293.705,65.0,0.20893603342976533
55,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,196.229,178.71,71.0,0.3787282731324295
56,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,301.776,264.918,72.0,0.25410539021058987
57,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_4_substack_frame_1_middleslice_ROI_1_raw_profile.csv,185.151,197.948,53.0,0.2766908814692808
58,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_4_substack_frame_2_middleslice_ROI_1_raw_profile.csv,315.121,196.953,86.0,0.3358889535496823
59,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_4_substack_frame_3_middleslice_ROI_1_raw_profile.csv,263.767,319.437,72.8159,0.24970987853306906
60,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_5_substack_frame_1_middleslice_ROI_1_raw_profile.csv,249.579,323.409,49.0,0.17103325026004032
61,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_5_substack_frame_2_middleslice_ROI_1_raw_profile.csv,310.329,234.657,82.0,0.30092516138029235
62,210821_VariousHighTimeResolutionMovies_01_14_R3D_D3D_nucleus_5_substack_frame_3_middleslice_ROI_1_raw_profile.csv,202.601,276.987,81.0,0.3377899363620441
63,210821_VariousHighTimeResolutionMovies_01_15_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,194.284,297.084,53.0,0.21572426368831507
64,210821_VariousHighTimeResolutionMovies_01_15_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,221.917,187.078,51.0,0.2493918018557684
65,210821_VariousHighTimeResolutionMovies_01_15_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,258.828,198.096,84.0,0.3676760248969194
66,210821_VariousHighTimeResolutionMovies_01_15_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,168.784,204.064,61.0,0.32721108870102567
