,Image,NE1_int,NE2_int,Nuc_int,Nuc_Ratio
0,220608_VariousMitosisMovies2_01_11_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,319.253,241.109,96.0,0.34263565338120716
1,220608_VariousMitosisMovies2_01_11_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,174.706,183.378,45.0,0.2513376749589482
2,220608_VariousMitosisMovies2_01_11_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,265.226,224.676,51.0,0.20820490628737992
3,220608_VariousMitosisMovies2_01_12_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,343.745,452.904,91.0,0.22845694904531355
4,220608_VariousMitosisMovies2_01_12_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,299.397,290.958,121.0,0.40992284303512294
5,220608_VariousMitosisMovies2_01_12_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,417.863,403.561,96.0,0.23374043125109567
6,220608_VariousMitosisMovies2_01_12_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,303.42,320.313,86.1708,0.2763066889197782
7,220608_VariousMitosisMovies2_01_12_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,328.352,234.045,86.0,0.30583377934092826
8,220608_VariousMitosisMovies2_01_12_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,257.365,251.738,100.0,0.3928478127215907
9,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_1_substack_frame_1_middleslice_ROI_1_raw_profile.csv,309.257,320.282,77.0,0.24462344668082517
10,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_1_substack_frame_2_middleslice_ROI_1_raw_profile.csv,260.818,282.64,151.0,0.555700716522712
11,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_1_substack_frame_3_middleslice_ROI_1_raw_profile.csv,369.477,405.661,95.0,0.24511764356798404
12,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_2_substack_frame_1_middleslice_ROI_1_raw_profile.csv,363.52,390.181,114.0,0.3025072276672049
13,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_2_substack_frame_2_middleslice_ROI_1_raw_profile.csv,330.381,292.098,119.0,0.38234221556068554
14,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_2_substack_frame_3_middleslice_ROI_1_raw_profile.csv,361.214,422.508,107.0,0.27305600710456
15,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_4_substack_frame_1_middleslice_ROI_1_raw_profile.csv,379.803,270.622,95.0,0.2921166929315448
16,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_4_substack_frame_2_middleslice_ROI_1_raw_profile.csv,387.274,283.973,131.0,0.39031831799620703
17,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_4_substack_frame_3_middleslice_ROI_1_raw_profile.csv,562.033,355.274,134.0,0.29215954963823454
18,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_5_substack_frame_1_middleslice_ROI_1_raw_profile.csv,377.663,315.196,107.0,0.3088651514954702
19,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_5_substack_frame_2_middleslice_ROI_1_raw_profile.csv,320.334,334.366,107.0,0.3268672674507408
20,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_5_substack_frame_3_middleslice_ROI_1_raw_profile.csv,440.14,255.79399999999998,108.0,0.3103742596280682
21,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_6_substack_frame_1_middleslice_ROI_1_raw_profile.csv,346.178,298.191,97.0,0.3010697286803059
22,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_6_substack_frame_2_middleslice_ROI_1_raw_profile.csv,265.788,207.325,104.0,0.43964126963325884
23,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_6_substack_frame_3_middleslice_ROI_1_raw_profile.csv,283.711,231.625,109.0,0.42302497787851034
24,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_7_substack_frame_1_middleslice_ROI_1_raw_profile.csv,267.722,475.115,92.0,0.2476990241466163
25,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_7_substack_frame_2_middleslice_ROI_1_raw_profile.csv,306.034,250.102,141.0,0.5070702130414143
26,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_7_substack_frame_3_middleslice_ROI_1_raw_profile.csv,417.151,370.983,137.0,0.3476566167682145
27,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_9_substack_frame_1_middleslice_ROI_1_raw_profile.csv,326.175,228.494,109.0,0.39302719279426107
28,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_9_substack_frame_2_middleslice_ROI_1_raw_profile.csv,194.271,243.512,109.0,0.4979636029722488
29,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_9_substack_frame_3_middleslice_ROI_1_raw_profile.csv,307.144,236.197,90.0,0.3312836690034435
30,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_10_substack_frame_1_middleslice_ROI_1_raw_profile.csv,404.272,280.428,116.0,0.33883452606981157
31,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_10_substack_frame_2_middleslice_ROI_1_raw_profile.csv,334.126,330.542,88.0,0.2647938519682007
32,220608_VariousMitosisMovies2_01_13_R3D_D3D_nucleus_10_substack_frame_3_middleslice_ROI_1_raw_profile.csv,253.464,319.036,116.0,0.4052401746724891
