 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_10_substack_frame_1,653.88,297.35,2.2,0.45,3.36,8.78,4.65,
2,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_10_substack_frame_2,554.58,295.66,1.88,0.53,4.15,9.16,5.29,
3,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_1_substack_frame_1,653.97,338.59,1.93,0.52,3.56,8.69,4.71,
4,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_1_substack_frame_2,596.7,263.76,2.26,0.44,2.49,6.77,3.46,
5,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_2_substack_frame_1,650.89,441.64,1.47,0.68,3.82,8.58,4.95,
6,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_2_substack_frame_2,606.76,480.03,1.26,0.79,3.72,8.38,4.77,
7,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_3_substack_frame_1,503.47,386.14,1.3,0.77,3.86,8.8,4.99,
8,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_3_substack_frame_2,452.35,257.15,1.76,0.57,3.53,8.2,4.61,
9,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_4_substack_frame_1,446.3,457.76,0.97,1.03,3.22,7.58,4.2,
10,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_4_substack_frame_2,461.74,419.09,1.1,0.91,3.93,8.69,4.99,
11,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_01_R3D_D3D_nucleus_5_substack_frame_1,608.49,271.34,2.24,0.45,1.99,5.54,2.74,
