 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
234,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_27_R3D_D3D_nucleus_5_substack_frame_2,557.18,341.71,1.63,0.61,4.01,9.23,5.19,
235,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_27_R3D_D3D_nucleus_6_substack_frame_1,350.8,179.39,1.96,0.51,1.28,4.27,1.94,
236,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_27_R3D_D3D_nucleus_6_substack_frame_2,309.87,190.59,1.63,0.62,1.25,4.23,1.92,
237,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_27_R3D_D3D_nucleus_7_substack_frame_1,499.97,239.81,2.08,0.48,2.52,7.36,3.66,1
238,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_27_R3D_D3D_nucleus_7_substack_frame_2,503.71,346.11,1.46,0.69,3.31,7.88,4.4,
239,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_27_R3D_D3D_nucleus_8_substack_frame_1,465.62,256.91,1.81,0.55,2.75,7.23,3.73,
240,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_27_R3D_D3D_nucleus_8_substack_frame_2,432.76,196.79,2.2,0.45,2.49,6.82,3.47,
241,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_27_R3D_D3D_nucleus_9_substack_frame_1,392.17,231.14,1.7,0.59,2.36,6.37,3.23,
242,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_27_R3D_D3D_nucleus_9_substack_frame_2,433.09,276.5,1.57,0.64,2.87,7.14,3.82,
243,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_1_substack_frame_1,611.24,488.24,1.25,0.8,3.36,8.21,4.5,
244,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_1_substack_frame_2,491.12,455.01,1.08,0.93,3.78,8.62,4.87,
245,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_28_R3D_D3D_nucleus_2_substack_frame_1,565.51,342.74,1.65,0.61,3.05,7.34,4,
