 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
160,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_17_substack_frame_2,415.31,307.26,1.35,0.74,3.3,7.78,4.3,
161,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_18_substack_frame_1,468.03,200.39,2.34,0.43,1.42,4.59,2.08,
162,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_18_substack_frame_2,385.4,160.01,2.41,0.42,1.43,4.51,2.08,
163,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_19_substack_frame_1,468.36,274.16,1.71,0.59,2.53,6.45,3.39,
164,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_19_substack_frame_2,407.22,341.92,1.19,0.84,3.39,7.87,4.37,
165,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_1_substack_frame_1,583.77,299.57,1.95,0.51,3.28,8.03,4.4,
166,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_1_substack_frame_2,659.48,337.24,1.96,0.51,4.19,9.32,5.36,
167,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_20_substack_frame_1,549.85,420.4,1.31,0.76,3.38,7.86,4.41,
168,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_20_substack_frame_2,493.67,306.73,1.61,0.62,2.69,6.89,3.63,
169,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_21_substack_frame_1,534.37,423.84,1.26,0.79,3.89,8.84,4.99,
170,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_21_substack_frame_2,514.9,356.45,1.44,0.69,3.77,8.43,4.82,
171,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_2_substack_frame_1,579.34,347.38,1.67,0.6,3.3,7.76,4.36,
172,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_2_substack_frame_2,627.3,243.76,2.57,0.39,2.47,6.86,3.46,
173,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_3_substack_frame_1,667.7,367.37,1.82,0.55,3.4,8.15,4.45,
174,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_3_substack_frame_2,664.59,383.16,1.73,0.58,3.67,8.84,4.86,
175,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_4_substack_frame_1,559.57,375.57,1.49,0.67,3.28,7.85,4.31,
176,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_4_substack_frame_2,601.67,316.46,1.9,0.53,3.04,7.59,4.07,
177,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_5_substack_frame_1,594.05,345.35,1.72,0.58,3.46,8.3,4.62,
178,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_5_substack_frame_2,633.82,348.63,1.82,0.55,3.33,8.18,4.45,
179,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_6_substack_frame_1,585.76,398.61,1.47,0.68,3.75,8.51,4.82,
180,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_6_substack_frame_2,575.89,334.63,1.72,0.58,3.53,8.2,4.61,
181,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_34_R3D_D3D_nucleus_7_substack_frame_1,569.72,351.36,1.62,0.62,3,7.38,3.99,
