 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_10_substack_frame_1,499.59,289.04,1.73,0.58,2.12,5.76,2.9,
2,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_10_substack_frame_2,326.21,336.43,0.97,1.03,1.83,5.28,2.59,
3,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_11_substack_frame_1,510.12,376.21,1.36,0.74,4.08,9.02,5.21,
4,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_11_substack_frame_2,431.8,397.5,1.09,0.92,2.93,7.22,3.87,
5,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_12_substack_frame_1,598.18,338.17,1.77,0.57,3.38,8.04,4.42,
6,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_12_substack_frame_2,390.25,463.93,0.84,1.19,3.02,7.33,3.99,
7,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_13_substack_frame_1,549.32,372.26,1.48,0.68,3.03,7.51,4.05,
8,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_13_substack_frame_2,462.54,435.41,1.06,0.94,2.89,7.61,3.96,
9,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_14_substack_frame_1,502.32,191.08,2.63,0.38,1.49,4.76,2.18,
10,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_14_substack_frame_2,504.56,179.96,2.8,0.36,1.28,4.36,1.91,
11,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_15_substack_frame_1,492.62,180.95,2.72,0.37,2.88,7.26,3.89,
12,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_15_substack_frame_2,398.04,438.89,0.91,1.1,4.23,9.36,5.39,
13,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_16_substack_frame_1,600.56,362.87,1.66,0.6,3.33,7.81,4.43,
14,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_16_substack_frame_2,450.02,413.87,1.09,0.92,2.62,6.82,3.53,
15,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_17_substack_frame_1,530.36,284.24,1.87,0.54,2.45,6.55,3.5,
16,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_17_substack_frame_2,484.3,481.57,1.01,0.99,3.05,7.44,4.01,
17,210501_NewpCUPCdc5_Nup60-delta2-47_repeat_01_11_R3D_D3D_nucleus_18_substack_frame_1,552.83,346.81,1.59,0.63,3.74,8.56,4.85,
