 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_10_substack_frame_1_middleslice,978.12,383.81,2.55,0.39,3.57,8.23,4.62,
2,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_10_substack_frame_2_middleslice,887.37,524.33,1.69,0.59,4.29,9.98,5.61,
3,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_10_substack_frame_3_middleslice,493.17,221.87,2.22,0.45,2.19,6.3,3.15,
4,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_1_substack_frame_1_middleslice,975.99,314.37,3.1,0.32,2.93,7.4,3.93,
5,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_1_substack_frame_2_middleslice,925.59,578.28,1.6,0.62,4.31,9.63,5.53,
6,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_1_substack_frame_3_middleslice,1046.8,550.03,1.9,0.53,5.28,14.95,7.59,
7,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_2_substack_frame_1_middleslice,810.84,315.25,2.57,0.39,2.49,6.6,3.4,
8,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_2_substack_frame_2_middleslice,921.85,531.6,1.73,0.58,4.01,10.17,5.42,
9,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_2_substack_frame_3_middleslice,596.19,274.44,2.17,0.46,2.39,7.15,3.49,
10,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_3_substack_frame_1_middleslice,885.53,280.21,3.16,0.32,2.6,7.17,3.61,
11,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_3_substack_frame_2_middleslice,482.2,274.96,1.75,0.57,2.09,6.1,2.98,
12,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_3_substack_frame_3_middleslice,885.34,388.23,2.28,0.44,3.49,10.11,5.05,
13,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_4_substack_frame_1_middleslice,709.3,246.47,2.88,0.35,2.84,7.32,3.85,
14,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_4_substack_frame_2_middleslice,885.42,614.44,1.44,0.69,4.82,12.28,6.6,
15,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_4_substack_frame_3_middleslice,536.32,173.48,3.09,0.32,1.81,5.63,2.66,
16,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_5_substack_frame_1_middleslice,908.1,397.06,2.29,0.44,3.4,8.25,4.5,
17,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_5_substack_frame_2_middleslice,598.47,266.54,2.25,0.45,2.68,7.25,3.7,
18,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_5_substack_frame_3_middleslice,471.87,209.06,2.26,0.44,1.91,6.02,2.81,
19,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_6_substack_frame_1_middleslice,836.84,266.55,3.14,0.32,3.16,8.01,4.24,
20,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_6_substack_frame_2_middleslice,588.33,290.93,2.02,0.49,2.08,6.09,2.98,
21,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_6_substack_frame_3_middleslice,438.19,257.95,1.7,0.59,2.02,5.65,2.83,
22,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_7_substack_frame_1_middleslice,797.95,301.78,2.64,0.38,3.05,7.44,4.03,
23,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_7_substack_frame_2_middleslice,445.08,217.23,2.05,0.49,1.88,5.42,2.63,
24,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_7_substack_frame_3_middleslice,474.92,181.79,2.61,0.38,1.82,5.27,2.54,
25,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_8_substack_frame_1_middleslice,801.51,284.4,2.82,0.35,3.29,7.76,4.3,
26,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_8_substack_frame_2_middleslice,660.42,597.51,1.11,0.9,4.31,10.66,5.79,
27,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_8_substack_frame_3_middleslice,456.31,201.78,2.26,0.44,1.87,5.41,2.65,
28,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_9_substack_frame_1_middleslice,779.38,233.27,3.34,0.3,2.75,7.09,3.77,
29,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_9_substack_frame_2_middleslice,871.8,485.11,1.8,0.56,4.47,11.18,6.06,
30,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_31_R3D_D3D_nucleus_9_substack_frame_3_middleslice,520.1,201.39,2.58,0.39,2.08,5.99,2.93,
31,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_10_substack_frame_1_middleslice,643.07,229.78,2.8,0.36,2.69,6.89,3.66,
32,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_10_substack_frame_2_middleslice,635.2,341.47,1.86,0.54,2.79,7.26,3.78,
33,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_10_substack_frame_3_middleslice,916.04,537.51,1.7,0.59,5.28,13.12,7.1,
34,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_11_substack_frame_1_middleslice,719.35,411.46,1.75,0.57,3.78,8.63,4.88,
35,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_11_substack_frame_2_middleslice,555.01,310.2,1.79,0.56,2.51,6.7,3.46,
36,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_11_substack_frame_3_middleslice,503.34,186.75,2.7,0.37,1.9,5.54,2.67,
37,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_1_substack_frame_1_middleslice,769.96,248.57,3.1,0.32,2.7,7.18,3.71,
38,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_1_substack_frame_2_middleslice,866.28,693.98,1.25,0.8,5.28,12.56,7,
39,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_1_substack_frame_3_middleslice,430.19,207.18,2.08,0.48,1.92,5.47,2.68,
40,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_2_substack_frame_1_middleslice,754.94,232.86,3.24,0.31,2.38,6.3,3.25,
41,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_2_substack_frame_2_middleslice,857.15,520.04,1.65,0.61,3.96,10.59,5.5,
42,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_2_substack_frame_3_middleslice,506.23,219.99,2.3,0.43,2.12,5.95,2.94,
43,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1209.02,339.73,3.56,0.28,3.57,8.55,4.69,
44,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_3_substack_frame_2_middleslice,995.81,676.98,1.47,0.68,5.22,12.22,6.86,
45,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_3_substack_frame_3_middleslice,622.34,263.57,2.36,0.42,2.23,6.24,3.12,
46,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_4_substack_frame_1_middleslice,607.47,202.34,3,0.33,2.48,6.49,3.39,
47,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_4_substack_frame_2_middleslice,343,149.82,2.29,0.44,1.42,4.69,2.15,
48,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_4_substack_frame_3_middleslice,434.5,129.98,3.34,0.3,1.61,4.97,2.33,
49,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_5_substack_frame_1_middleslice,759.32,251.23,3.02,0.33,2.98,7.27,3.94,
50,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_5_substack_frame_2_middleslice,552.99,305.64,1.81,0.55,2.65,6.84,3.56,
51,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_5_substack_frame_3_middleslice,424.61,180.24,2.36,0.42,1.88,5.23,2.61,
52,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_6_substack_frame_1_middleslice,606.42,227.9,2.66,0.38,2.83,7.4,3.84,
53,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_6_substack_frame_2_middleslice,709.52,562.49,1.26,0.79,5.71,13.08,7.44,
54,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_6_substack_frame_3_middleslice,412.47,204.99,2.01,0.5,2.33,6.25,3.21,
55,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_7_substack_frame_1_middleslice,789.64,294.86,2.68,0.37,2.98,7.37,3.98,
56,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_7_substack_frame_2_middleslice,554.17,208.19,2.66,0.38,1.98,5.81,2.8,
57,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_7_substack_frame_3_middleslice,512.69,237.5,2.16,0.46,2.12,6.13,3,
58,210524_Nup60GFP_phosphomutants1_hightimeresolution_01_32_R3D_D3D_nucleus_8_substack_frame_1_middleslice,801.7,295.81,2.71,0.37,3.44,8.01,4.48,
