 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_10_substack_frame_1_middleslice,774.63,280.63,2.76,0.36,2.75,6.95,3.66,
2,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_10_substack_frame_2_middleslice,644.23,308.11,2.09,0.48,2.84,7.32,3.85,
3,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_11_substack_frame_1_middleslice,943.01,411.78,2.29,0.44,4.44,9.29,5.51,
4,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_11_substack_frame_2_middleslice,668.41,450.48,1.48,0.67,4.71,10.68,6.13,
5,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_12_substack_frame_1_middleslice,954.72,329.27,2.9,0.34,3.36,7.93,4.37,
6,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_12_substack_frame_2_middleslice,730.33,343.79,2.12,0.47,2.95,7.15,3.91,
7,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_13_substack_frame_1_middleslice,771.59,305.21,2.53,0.4,3.25,7.64,4.26,
8,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_13_substack_frame_2_middleslice,550.55,296.57,1.86,0.54,3.89,9.35,5.16,
9,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_14_substack_frame_1_middleslice,676.25,323.4,2.09,0.48,2.93,7.22,3.88,
10,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_14_substack_frame_2_middleslice,553.82,369.25,1.5,0.67,2.87,7.25,3.82,
11,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_15_substack_frame_1_middleslice,454.72,237.65,1.91,0.52,2.12,5.76,2.89,
12,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_15_substack_frame_2_middleslice,464.93,218.95,2.12,0.47,2.32,6.14,3.15,
13,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_16_substack_frame_1_middleslice,469.19,218.62,2.15,0.47,1.38,4.55,2.03,
14,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_16_substack_frame_2_middleslice,489.93,162.4,3.02,0.33,1.15,4.14,1.76,
15,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_17_substack_frame_1_middleslice,866.2,333.06,2.6,0.38,3.24,7.53,4.19,
16,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_17_substack_frame_2_middleslice,651.14,370.63,1.76,0.57,3.11,7.5,4.09,
17,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_1_substack_frame_1_middleslice,834.46,456.19,1.83,0.55,4.42,9.36,5.58,
18,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_1_substack_frame_2_middleslice,692.73,476.35,1.45,0.69,4.35,9.39,5.49,
19,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_2_substack_frame_1_middleslice,769.12,262.67,2.93,0.34,2.68,6.69,3.58,
20,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_2_substack_frame_2_middleslice,623.34,293.84,2.12,0.47,2.93,7.12,3.84,
21,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_3_substack_frame_1_middleslice,601.67,219.88,2.74,0.37,2.75,6.86,3.65,
22,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_3_substack_frame_2_middleslice,446.97,352.35,1.27,0.79,4.34,9.37,5.51,
23,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_4_substack_frame_1_middleslice,726.6,230.35,3.15,0.32,2.75,6.95,3.68,
24,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_4_substack_frame_2_middleslice,590.23,310.47,1.9,0.53,2.91,7.45,3.99,
25,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_5_substack_frame_1_middleslice,439.69,198.48,2.22,0.45,1.14,4.03,1.74,
26,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_5_substack_frame_2_middleslice,526.46,151.47,3.48,0.29,1.11,4.09,1.73,
27,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_6_substack_frame_1_middleslice,392.94,138.14,2.84,0.35,1.15,4.05,1.77,
28,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_6_substack_frame_2_middleslice,355.75,137.38,2.59,0.39,1.11,4,1.71,
29,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_7_substack_frame_1_middleslice,758.87,278.45,2.73,0.37,3.78,8.35,4.83,
30,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_7_substack_frame_2_middleslice,622.49,341.04,1.83,0.55,3.99,8.8,5.09,
31,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_8_substack_frame_1_middleslice,848.43,301.05,2.82,0.35,2.96,7.33,3.93,
32,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_8_substack_frame_2_middleslice,649.22,374.09,1.74,0.58,3.24,7.72,4.22,
33,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_9_substack_frame_1_middleslice,642.7,208.08,3.09,0.32,2.27,6.19,3.11,
34,210824_pCUPCdc5_Nup60Phosphomutants2_01_31_R3D_D3D_nucleus_9_substack_frame_2_middleslice,447.05,163.73,2.73,0.37,1.85,5.21,2.59,
35,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_10_substack_frame_1_middleslice,1100.27,317.95,3.46,0.29,2.73,6.93,3.66,
36,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_10_substack_frame_2_middleslice,965.34,444.58,2.17,0.46,3.31,7.88,4.35,
37,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_11_substack_frame_1_middleslice,742.61,242.27,3.07,0.33,1.89,5.25,2.61,
38,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_11_substack_frame_2_middleslice,685.2,322.94,2.12,0.47,2.63,6.74,3.53,
39,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_12_substack_frame_1_middleslice,638.66,240.13,2.66,0.38,2.69,6.7,3.59,
40,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_12_substack_frame_2_middleslice,598.07,261.09,2.29,0.44,2.83,7.03,3.74,
41,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_13_substack_frame_1_middleslice,898.48,310.42,2.89,0.35,2.97,7.36,3.95,
42,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_13_substack_frame_2_middleslice,697.13,297.27,2.35,0.43,2.87,7.07,3.82,
43,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_14_substack_frame_1_middleslice,861.75,397.66,2.17,0.46,2.79,6.89,3.67,
44,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_14_substack_frame_2_middleslice,683.33,259.87,2.63,0.38,2.75,6.95,3.67,
45,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_15_substack_frame_1_middleslice,1024.77,313.49,3.27,0.31,3.26,7.99,4.33,
46,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_15_substack_frame_2_middleslice,1042.47,469.06,2.22,0.45,2.65,6.84,3.57,
47,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_16_substack_frame_1_middleslice,540.41,219.52,2.46,0.41,2.83,7.03,3.79,
48,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_16_substack_frame_2_middleslice,496.8,347.73,1.43,0.7,3.14,7.68,4.15,
49,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_17_substack_frame_1_middleslice,753.96,284.47,2.65,0.38,2.86,6.87,3.78,
50,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_17_substack_frame_2_middleslice,688.06,361.73,1.9,0.53,2.72,6.82,3.66,
51,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_18_substack_frame_1_middleslice,929.69,329.27,2.82,0.35,3.25,7.82,4.28,
52,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_18_substack_frame_2_middleslice,738.42,396.29,1.86,0.54,3.11,7.59,4.13,
53,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_19_substack_frame_1_middleslice,629.51,313.25,2.01,0.5,2.9,7.01,3.82,
54,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_19_substack_frame_2_middleslice,487.26,356.9,1.37,0.73,3.23,7.52,4.22,
55,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_1_substack_frame_1_middleslice,744.97,261.55,2.85,0.35,2.61,6.72,3.5,
56,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_1_substack_frame_2_middleslice,699.66,270.09,2.59,0.39,2.96,7.25,3.92,
57,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_2_substack_frame_1_middleslice,543.43,204.07,2.66,0.38,1.43,4.51,2.1,
58,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_2_substack_frame_2_middleslice,530.73,197.21,2.69,0.37,1.63,4.99,2.34,
59,210824_pCUPCdc5_Nup60Phosphomutants2_01_32_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1033.65,392.65,2.63,0.38,3.57,8.04,4.58,
