 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_1_substack_frame_1,597.91,234.89,2.55,0.39,2.97,7.36,4,
2,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_1_substack_frame_2,488.92,331.14,1.48,0.68,2.93,7.22,3.86,
3,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_1_substack_frame_3,435.23,153.92,2.83,0.35,1.88,5.89,2.79,
4,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_2_substack_frame_1,638.17,337.66,1.89,0.53,3.28,7.85,4.33,
5,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_2_substack_frame_2,568.29,420.22,1.35,0.74,3.18,8.78,4.49,
6,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_2_substack_frame_3,452.05,170.03,2.66,0.38,1.63,5.08,2.4,
7,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_3_substack_frame_1,985.3,343.98,2.86,0.35,4.02,9.15,5.21,
8,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_3_substack_frame_2,708.14,761.57,0.93,1.08,5.86,12.85,7.48,
9,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_3_substack_frame_3,930.59,485.31,1.92,0.52,5.05,11.86,6.84,
10,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_4_substack_frame_1,908.94,363.28,2.5,0.4,3.57,8.38,4.68,
11,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_4_substack_frame_2,752.31,774.31,0.97,1.03,5.47,11.53,6.87,
12,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_4_substack_frame_3,521.38,217.29,2.4,0.42,2.58,6.68,3.5,
13,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_5_substack_frame_1,737.74,264.3,2.79,0.36,2.8,7,3.73,
14,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_5_substack_frame_2,488.9,382.62,1.28,0.78,2.67,7.15,3.72,
15,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_5_substack_frame_3,421.52,167.65,2.51,0.4,1.76,5.21,2.53,
16,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_6_substack_frame_1,834.48,319.8,2.61,0.38,3.52,8.52,4.73,
17,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_6_substack_frame_2,730.18,742.72,0.98,1.02,5.85,13.31,7.59,
18,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_6_substack_frame_3,508.93,224.38,2.27,0.44,2.48,6.68,3.4,
19,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_7_substack_frame_1,576.47,220.14,2.62,0.38,3.14,7.78,4.19,
20,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_7_substack_frame_2,520.73,398.11,1.31,0.76,3.25,7.73,4.26,
21,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_01_R3D_D3D_nucleus_7_substack_frame_3,392.11,159.08,2.46,0.41,1.94,5.57,2.73,
