 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
230,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_4_substack_frame_2,525.28,376.48,1.4,0.72,3.38,8.14,4.45,
231,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_4_substack_frame_3,394.89,205.77,1.92,0.52,2.25,6.17,3.12,
232,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_5_substack_frame_1,692.8,249.47,2.78,0.36,3.04,7.61,4.07,
233,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_5_substack_frame_2,756.72,529.2,1.43,0.7,4.73,11.45,6.32,
234,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_5_substack_frame_3,535.79,223.81,2.39,0.42,2.55,6.56,3.44,
235,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_6_substack_frame_1,659.53,164.86,4,0.25,2.01,5.83,2.82,
236,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_6_substack_frame_2,572.26,422.25,1.36,0.74,3.44,8.57,4.58,
237,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_6_substack_frame_3,441.88,217.53,2.03,0.49,2.34,6.72,3.36,
238,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_7_substack_frame_1,536.76,203.91,2.63,0.38,3.36,8.11,4.52,
239,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_7_substack_frame_2,648.63,303.39,2.14,0.47,3.5,10.31,5.06,
240,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_7_substack_frame_3,421.47,155.76,2.71,0.37,1.83,5.93,2.82,
241,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_8_substack_frame_1,641.44,236.32,2.71,0.37,2.77,6.97,3.71,
242,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_8_substack_frame_2,512.68,223.43,2.29,0.44,2.25,6.17,3.1,
243,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_8_substack_frame_3,416.84,139.69,2.98,0.34,1.74,5.36,2.53,
244,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_9_substack_frame_1,659.47,260.57,2.53,0.4,3.23,7.99,4.28,
245,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_9_substack_frame_2,602.45,406.24,1.48,0.67,3.58,9.08,4.9,
246,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_40_R3D_D3D_nucleus_9_substack_frame_3,409.71,156.44,2.62,0.38,1.66,5.11,2.39,
