 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice,543.38,216.93,2.5,0.4,2.58,6.68,3.46,
2,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_1_substack_frame_2_middleslice,584.89,269.61,2.17,0.46,3.02,7.4,4,
3,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_2_substack_frame_1_middleslice,815.53,344.23,2.37,0.42,4,8.57,5.06,1
4,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_2_substack_frame_2_middleslice,962.59,352.5,2.73,0.37,2.45,6.83,3.46,
5,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_3_substack_frame_1_middleslice,916.96,394.59,2.32,0.43,2.9,7.1,3.84,
6,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_3_substack_frame_2_middleslice,830.49,362.78,2.29,0.44,3.18,7.57,4.14,
7,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_4_substack_frame_1_middleslice,794.32,222.13,3.58,0.28,2.79,7.26,3.81,
8,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_4_substack_frame_2_middleslice,744.03,288.55,2.58,0.39,2.83,7.03,3.78,
9,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_5_substack_frame_1_middleslice,839.59,234.83,3.58,0.28,3.3,8.34,4.55,
10,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_5_substack_frame_2_middleslice,920.32,315.8,2.91,0.34,2.61,6.72,3.56,
11,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_6_substack_frame_1_middleslice,706.85,357.8,1.98,0.51,4.01,8.83,5.12,
12,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_6_substack_frame_2_middleslice,1017.7,379.52,2.68,0.37,2.52,6.62,3.4,
13,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_7_substack_frame_1_middleslice,683.1,249.51,2.74,0.37,2.97,7.17,3.92,
14,210525_pCUPCdc5_Nup60Phosphomutants_01_21_R3D_D3D_nucleus_7_substack_frame_2_middleslice,566.39,230.23,2.46,0.41,2.95,7.33,3.91,
15,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_1_substack_frame_1_middleslice,823.74,345.72,2.38,0.42,3.51,8.17,4.61,
16,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_1_substack_frame_2_middleslice,804.55,372.87,2.16,0.46,3.56,8.37,4.65,
17,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_2_substack_frame_1_middleslice,744.86,250.75,2.97,0.34,1.82,5.36,2.56,
18,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_2_substack_frame_2_middleslice,605.35,265.63,2.28,0.44,1.85,5.3,2.6,
19,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_3_substack_frame_1_middleslice,881.13,337.53,2.61,0.38,1.96,5.5,2.72,
20,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_3_substack_frame_2_middleslice,705.03,298.84,2.36,0.42,1.74,5.28,2.48,
21,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_4_substack_frame_1_middleslice,928.39,419.67,2.21,0.45,3.96,8.81,5.07,
22,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_4_substack_frame_2_middleslice,872.6,412.14,2.12,0.47,2.32,6.3,3.19,
23,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_5_substack_frame_1_middleslice,981.42,331.08,2.96,0.34,2.94,7.41,3.93,
24,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_5_substack_frame_2_middleslice,1003.33,444.95,2.25,0.44,3.44,7.92,4.43,
25,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1480.07,439.91,3.36,0.3,4.31,9.91,5.61,1
26,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_6_substack_frame_2_middleslice,1620.13,586.98,2.76,0.36,3.07,8.28,4.37,
27,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_7_substack_frame_1_middleslice,754.63,311.35,2.42,0.41,2.54,6.46,3.45,
28,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_7_substack_frame_2_middleslice,627.79,263.1,2.39,0.42,2.45,6.46,3.33,
29,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_8_substack_frame_1_middleslice,901.83,323.02,2.79,0.36,3.47,8.14,4.52,
30,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_8_substack_frame_2_middleslice,735.6,301.37,2.44,0.41,2.53,6.63,3.43,
31,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_9_substack_frame_1_middleslice,608.24,268.6,2.26,0.44,1.41,4.58,2.06,
32,210525_pCUPCdc5_Nup60Phosphomutants_01_22_R3D_D3D_nucleus_9_substack_frame_2_middleslice,673.25,219.5,3.07,0.33,1.41,4.68,2.09,
33,210525_pCUPCdc5_Nup60Phosphomutants_01_23_R3D_D3D_nucleus_10_substack_frame_1_middleslice,1073.85,357.46,3,0.33,2.94,7.41,3.94,
34,210525_pCUPCdc5_Nup60Phosphomutants_01_23_R3D_D3D_nucleus_10_substack_frame_2_middleslice,1179.35,490.14,2.41,0.42,3.04,8.08,4.2,
35,210525_pCUPCdc5_Nup60Phosphomutants_01_23_R3D_D3D_nucleus_11_substack_frame_1_middleslice,707.85,289.45,2.45,0.41,2.73,7.02,3.68,
36,210525_pCUPCdc5_Nup60Phosphomutants_01_23_R3D_D3D_nucleus_11_substack_frame_2_middleslice,619.53,281.57,2.2,0.45,2.88,7.45,3.89,
37,210525_pCUPCdc5_Nup60Phosphomutants_01_23_R3D_D3D_nucleus_12_substack_frame_1_middleslice,727.86,315.99,2.3,0.43,3.09,7.71,4.17,1
38,210525_pCUPCdc5_Nup60Phosphomutants_01_23_R3D_D3D_nucleus_12_substack_frame_2_middleslice,797.59,270.86,2.94,0.34,4.03,9.26,5.22,
39,210525_pCUPCdc5_Nup60Phosphomutants_01_23_R3D_D3D_nucleus_13_substack_frame_1_middleslice,882.59,399.65,2.21,0.45,3.87,8.88,5.01,
