"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Subcomplex"
"16","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_5_substack_frame_1_middleslice",868.4,349.89,2.48,0.4,3.1,7.58,4.14,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_5",193.839285714286,112.867741935484,0.582274854756987,1.71740199981219,3,"Nup60-GFP","Basket"
"17","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_6_substack_frame_1_middleslice",637.91,297.62,2.14,0.47,3.12,7.32,4.06,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_6",151.883333333333,95.3910256410256,0.628054596561126,1.59221826490155,3,"Nup60-GFP","Basket"
"18","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_7_substack_frame_1_middleslice",760.98,260.48,2.92,0.34,3.02,7.31,3.98,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_7",177.384615384615,86.2516556291391,0.48624090337329,2.05659374409374,3,"Nup60-GFP","Basket"
"19","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_8_substack_frame_1_middleslice",642.54,280.67,2.29,0.44,2.98,7.27,3.96,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_8",149.776223776224,94.1845637583893,0.62883521418665,1.59024173176024,3,"Nup60-GFP","Basket"
"20","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_9_substack_frame_1_middleslice",727.11,377.33,1.93,0.52,4.42,9.64,5.62,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_23_R3D_D3D_nucleus_9",139.293103448276,85.368778280543,0.612871536114803,1.63166331126966,3,"Nup60-GFP","Basket"
"21","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_1_substack_frame_1_middleslice",810.19,235.41,3.44,0.29,2.96,7.44,3.98,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_1",180.845982142857,79.5304054054054,0.439768716247073,2.27392254850201,3,"Nup60-GFP","Basket"
"22","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_2_substack_frame_1_middleslice",924.03,324.82,2.84,0.35,2.83,7.22,3.85,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_2",210.485193621868,114.777385159011,0.545299092938602,1.83385597546298,3,"Nup60-GFP","Basket"
"23","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_3_substack_frame_1_middleslice",759.22,227.87,3.33,0.3,2.55,6.75,3.47,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_24_R3D_D3D_nucleus_3",180.766666666667,89.3607843137255,0.494343265611611,2.02288585597051,3,"Nup60-GFP","Basket"
"24","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_25_R3D_D3D_nucleus_2_substack_frame_1_middleslice",760.3,315.05,2.41,0.41,3.04,7.52,4.02,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_25_R3D_D3D_nucleus_2",169.709821428571,103.634868421053,0.610659227313318,1.63757453465436,3,"Nup60-GFP","Basket"
"25","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_25_R3D_D3D_nucleus_3_substack_frame_1_middleslice",764.85,319.29,2.4,0.42,3.16,7.73,4.21,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_25_R3D_D3D_nucleus_3",167.363238512035,101.041139240506,0.603723614210778,1.65638708916042,3,"Nup60-GFP","Basket"
"26","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_25_R3D_D3D_nucleus_4_substack_frame_1_middleslice",842.61,264.44,3.19,0.31,2.83,7.12,3.78,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_25_R3D_D3D_nucleus_4",196.412587412587,93.4416961130742,0.475741892839022,2.10198011790055,3,"Nup60-GFP","Basket"
"27","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_25_R3D_D3D_nucleus_5_substack_frame_1_middleslice",606.29,289.54,2.09,0.48,2.81,6.73,3.78,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_25_R3D_D3D_nucleus_5",154.665816326531,103.039145907473,0.666205037122987,1.50103938619034,3,"Nup60-GFP","Basket"
"28","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_26_R3D_D3D_nucleus_1_substack_frame_1_middleslice",697.01,251.09,2.78,0.36,2.95,7.43,3.95,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_26_R3D_D3D_nucleus_1",155.582589285714,85.1152542372881,0.547074416411602,1.82790488825862,3,"Nup60-GFP","Basket"
"29","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_26_R3D_D3D_nucleus_2_substack_frame_1_middleslice",729.42,225.08,3.24,0.31,2.62,7.05,3.6,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_26_R3D_D3D_nucleus_2",164.654627539503,85.9083969465649,0.521749058804643,1.91663019439088,3,"Nup60-GFP","Basket"
"30","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_27_R3D_D3D_nucleus_1_substack_frame_1_middleslice",561.7,183.62,3.06,0.33,2.06,5.79,2.86,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_27_R3D_D3D_nucleus_1",150.58981233244,89.1359223300971,0.591912035412608,1.68944022113509,3,"Nup60-GFP","Basket"
"31","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_27_R3D_D3D_nucleus_2_substack_frame_1_middleslice",846.57,340.98,2.48,0.4,3.16,7.64,4.14,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_27_R3D_D3D_nucleus_2",188.966517857143,107.905063291139,0.571027420702722,1.75122938714462,3,"Nup60-GFP","Basket"
"32","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_27_R3D_D3D_nucleus_3_substack_frame_1_middleslice",729.93,278.51,2.62,0.38,2.93,7.59,4.08,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_27_R3D_D3D_nucleus_3",156.637339055794,95.0546075085324,0.60684513719091,1.64786687527728,3,"Nup60-GFP","Basket"
"33","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_1_substack_frame_1_middleslice",825.64,292.85,2.82,0.35,3.52,8.22,4.63,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_1",175.668085106383,83.1960227272727,0.473597823286398,2.11149619113699,3,"Nup60-GFP","Basket"
"34","201211_14646_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_2_substack_frame_1_middleslice",609.84,323.28,1.89,0.53,3.51,8.17,4.54,0,"Pre","201211_HighTimeResolution_Nup60GFP_01_28_R3D_D3D_nucleus_2",130.8669527897,92.1025641025641,0.703787794696886,1.4208828393091,3,"Nup60-GFP","Basket"
