"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Sample"
"160","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_1_substack_frame_4",258.04,236.51,1.09,0.92,1.94,5.48,2.72,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_1",72.8926553672316,121.912371134021,1.67249183775551,0.597910242325607,"Nup60-GFP_delta2-47"
"161","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_2_substack_frame_1",521.61,264.73,1.97,0.51,3.22,7.79,4.28,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_2",114.137855579869,82.2142857142857,0.720306906911842,1.38829711391673,"Nup60-GFP_delta2-47"
"162","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_2_substack_frame_2",411.07,347.19,1.18,0.84,3.63,8.48,4.78,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_2",84.7567010309278,95.6446280991736,1.12846095867125,0.886162691155471,"Nup60-GFP_delta2-47"
"163","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_2_substack_frame_3",317.35,214.29,1.48,0.68,1.94,6.13,2.89,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_2",75.7398568019093,110.458762886598,1.45839677483802,0.685684456557488,"Nup60-GFP_delta2-47"
"164","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_2_substack_frame_4",266.83,172.73,1.54,0.65,1.7,5.34,2.47,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_2",73.3049450549451,101.605882352941,1.38607132543082,0.721463594010343,"Nup60-GFP_delta2-47"
"165","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_3_substack_frame_1",476.43,232.86,2.05,0.49,2.9,7.47,3.94,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_3",104.251641137856,80.2965517241379,0.770218586947317,1.29833272910668,"Nup60-GFP_delta2-47"
"166","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_3_substack_frame_2",383.57,284.2,1.35,0.74,2.79,6.98,3.72,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_3",91.5441527446301,101.863799283154,1.11272862579559,0.898691717654884,"Nup60-GFP_delta2-47"
"167","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_3_substack_frame_3",387.75,416.25,0.93,1.07,4.4,10.52,5.83,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_3",63.3578431372549,94.6022727272727,1.49314225426411,0.669728552081493,"Nup60-GFP_delta2-47"
"168","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_3_substack_frame_4",236.58,217.72,1.09,0.92,2.18,6,3.04,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_3",61.9319371727749,99.8715596330275,1.61260190125186,0.620115850802174,"Nup60-GFP_delta2-47"
"169","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_4_substack_frame_1",431.16,238.06,1.81,0.55,2.96,7.34,3.94,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_4",98.4383561643836,80.4256756756757,0.8170156309942,1.22396679092067,"Nup60-GFP_delta2-47"
"170","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_4_substack_frame_2",416.47,301.56,1.38,0.72,3.12,7.78,4.19,0,"-10 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_4",89.3712446351931,96.6538461538461,1.08148707728509,0.924652749906495,"Nup60-GFP_delta2-47"
"171","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_4_substack_frame_3",293.37,224.68,1.31,0.77,1.68,5.74,2.65,0,"Anaphase I","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_4",72.2586206896552,133.738095238095,1.85082546499869,0.540299460381968,"Nup60-GFP_delta2-47"
"172","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_4_substack_frame_4",224.58,129.99,1.73,0.58,1.18,4.26,1.83,0,"+10 min","201211_HighTimeResolution_Nup60GFP_01_32_R3D_D3D_nucleus_4",72.9155844155844,110.161016949153,1.51080208479557,0.661900066238861,"Nup60-GFP_delta2-47"
"173","201211_25731_measurements.csv","201211_HighTimeResolution_Nup60GFP_01_33_R3D_D3D_nucleus_1_substack_frame_1",695.51,439.39,1.58,0.63,4.57,10.96,6.1,0,"-45 min","201211_HighTimeResolution_Nup60GFP_01_33_R3D_D3D_nucleus_1",108.843505477308,96.1466083150985,0.883347223093096,1.13205767093311,"Nup60-GFP_delta2-47"
