"","Time.point",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","Corr.p.adjust","Corr.p.signif"
"1","Pre","Norm.Nuc.NE.mean.Ratio","WT","S89A",136,73,-0.297134763617448,0.766363624698499,1,"ns",0.766363624698499,"ns"
"2","Pre","Norm.Nuc.NE.mean.Ratio","WT","Nterm3A",136,81,-6.62377056322534,3.50150115522167e-11,4.201801386266e-10,"****",1.75075057761083e-10,"****"
"3","Pre","Norm.Nuc.NE.mean.Ratio","WT","Nterm5A",136,83,-6.21975120195467,4.97943821289611e-10,5.47738203418572e-09,"****",1.99177528515845e-09,"****"
"4","Pre","Norm.Nuc.NE.mean.Ratio","WT","Cterm4A",136,77,3.06583774639208,0.00217061070329373,0.0130236642197624,"*",0.00434122140658745,"**"
"5","Pre","Norm.Nuc.NE.mean.Ratio","WT","9A",136,82,-4.75123384962457,2.02179147598298e-06,1.61743318078638e-05,"****",6.06537442794893e-06,"****"
"6","Anaphase","Norm.Nuc.NE.mean.Ratio","WT","S89A",136,73,-1.51775646028468,0.129075804908792,0.725601840800909,"ns",0.258151609817584,"ns"
"7","Anaphase","Norm.Nuc.NE.mean.Ratio","WT","Nterm3A",136,81,-9.88209793025266,4.97796391139543e-23,6.47135308481406e-22,"****",1.49338917341863e-22,"****"
"8","Anaphase","Norm.Nuc.NE.mean.Ratio","WT","Nterm5A",136,83,-10.2847537915948,8.2552788377225e-25,1.15573903728115e-23,"****",3.302111535089e-24,"****"
"9","Anaphase","Norm.Nuc.NE.mean.Ratio","WT","Cterm4A",136,77,0.23231151682888,0.816296067972088,1,"ns",0.816296067972088,"ns"
"10","Anaphase","Norm.Nuc.NE.mean.Ratio","WT","9A",136,82,-10.3242102782255,5.47676214025137e-25,8.21514321037706e-24,"****",2.73838107012569e-24,"****"
"11","Post","Norm.Nuc.NE.mean.Ratio","WT","S89A",136,73,1.11623117380774,0.264323193826351,1,"ns",0.274932607654572,"ns"
"12","Post","Norm.Nuc.NE.mean.Ratio","WT","Nterm3A",136,81,-4.28757424486159,1.80634891276433e-05,0.000198698380404076,"***",9.03174456382166e-05,"****"
"13","Post","Norm.Nuc.NE.mean.Ratio","WT","Nterm5A",136,83,-2.88713607312241,0.00388766057976651,0.0272136240583656,"*",0.0116629817392995,"*"
"14","Post","Norm.Nuc.NE.mean.Ratio","WT","Cterm4A",136,77,1.48529270367928,0.137466303827286,0.824797822963717,"ns",0.274932607654572,"ns"
"15","Post","Norm.Nuc.NE.mean.Ratio","WT","9A",136,82,-3.90091160480416,9.58311405993022e-05,0.000958311405993022,"***",0.000383324562397209,"***"
