"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","Group"
"17","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_03_R3D_D3D_nucleus_8_substack_frame_1",728.8,209.92,3.47,0.29,3.04,7.88,4.17,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_03_R3D_D3D_nucleus_8",150.578512396694,69.0526315789474,0.458582240452944,2.1806339447692,"WT"
"18","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_1_substack_frame_1",717.59,300.89,2.38,0.42,3.43,8.18,4.49,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_1",151.071578947368,87.7230320699708,0.580671974710296,1.72214269596688,"WT"
"19","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_3_substack_frame_1",716.22,194.06,3.69,0.27,3.37,8.03,4.42,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_3",153.695278969957,57.5845697329377,0.374667134337898,2.66903581432936,"WT"
"20","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_4_substack_frame_1",849.57,207.24,4.1,0.24,3.15,7.62,4.17,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_4",190.060402684564,65.7904761904762,0.34615561822031,2.8888740998667,"WT"
"21","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_5_substack_frame_1",655.75,212.64,3.08,0.32,3.4,8.25,4.5,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_5",135.20618556701,62.5411764705882,0.462561503442399,2.16187467516852,"WT"
"22","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_6_substack_frame_1",632.3,187.06,3.38,0.3,2.67,7.15,3.65,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_6",141.138392857143,70.059925093633,0.496391688153528,2.01453816384353,"WT"
"23","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_8_substack_frame_1",590.48,163.95,3.6,0.28,3.42,7.99,4.45,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_8",129.207877461707,47.9385964912281,0.371019147075112,2.69527868813075,"WT"
"24","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_9_substack_frame_1",659.33,176.49,3.74,0.27,3.22,7.92,4.28,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_04_R3D_D3D_nucleus_9",140.282978723404,54.8105590062112,0.390714251329672,2.55941521609928,"WT"
"25","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_1_substack_frame_1",719,235.95,3.05,0.33,3.15,7.72,4.19,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_1",157.330415754923,74.9047619047619,0.476098417113716,2.10040605902949,"WT"
"26","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_2_substack_frame_1",670.02,195.33,3.43,0.29,2.81,7.26,3.85,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_2",150.566292134831,69.5124555160142,0.461673423250445,2.16603328162021,"WT"
"27","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_3_substack_frame_1",847.48,289.21,2.93,0.34,4.35,9.57,5.57,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_3",162.352490421456,66.4850574712644,0.409510548921509,2.44193953643834,"WT"
"28","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_5_substack_frame_1",562.61,164.98,3.41,0.29,3.08,7.65,4.14,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_5",123.109409190372,53.5649350649351,0.435100252833674,2.29832088923715,"WT"
"29","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_6_substack_frame_1",639.46,153.39,4.17,0.24,2.53,6.63,3.47,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_6",155.965853658537,60.6284584980237,0.388729052390919,2.57248588406088,"WT"
"30","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_7_substack_frame_1",540.48,159.05,3.4,0.29,2.79,6.89,3.71,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_05_R3D_D3D_nucleus_7",131.824390243902,57.0071684587814,0.432447806914231,2.31241778547933,"WT"
"31","210814_15303_Measurements.csv","210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_06_R3D_D3D_nucleus_2_substack_frame_1",582.49,160.95,3.62,0.28,3.07,7.45,4.1,0,"210814_Nup60delta2-47unmarked_Nup1Nup2GFP_01_06_R3D_D3D_nucleus_2",132.988584474886,52.4267100977199,0.394219626479447,2.53665706329854,"WT"
