"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Treatment"
"15","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_10_substack_frame_1_middleslice",1065.82,304.09,3.5,0.29,3.46,8.5,4.65,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_10",211.472222222222,87.8872832369942,0.41559729364663,2.40617543782725,2,"pCUP-Cdc5[KD]","CuSO4"
"16","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_10_substack_frame_2_middleslice",811.43,321.87,2.52,0.4,3.42,8.41,4.59,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_10",162.61122244489,94.1140350877193,0.57876715808846,1.72781054699575,2,"pCUP-Cdc5[KD]","CuSO4"
"17","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_11_substack_frame_1_middleslice",573.22,235.88,2.43,0.41,2.74,6.94,3.65,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_11",136.480952380952,86.0875912408759,0.630766343134711,1.58537311142873,2,"pCUP-Cdc5[KD]","CuSO4"
"18","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_11_substack_frame_2_middleslice",616.39,208.7,2.95,0.34,2.87,7.25,3.85,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_11",140.728310502283,72.7177700348432,0.516724529522888,1.93526713532129,2,"pCUP-Cdc5[KD]","CuSO4"
"19","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_12_substack_frame_1_middleslice",886.88,233.74,3.79,0.26,2.36,6.55,3.26,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_12",211.665871121718,99.0423728813559,0.467918480936408,2.13712439397303,2,"pCUP-Cdc5[KD]","CuSO4"
"20","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_12_substack_frame_2_middleslice",914.73,348.04,2.63,0.38,3.64,8.58,4.75,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_12",185.168016194332,95.6153846153846,0.516370950991003,1.93659228521828,2,"pCUP-Cdc5[KD]","CuSO4"
"21","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_13_substack_frame_1_middleslice",979.65,427.88,2.29,0.44,3.88,9.47,5.26,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_13",175.250447227191,110.278350515464,0.629261449886636,1.58916456773278,2,"pCUP-Cdc5[KD]","CuSO4"
"22","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_13_substack_frame_2_middleslice",970.08,311.84,3.11,0.32,3.71,8.77,5.04,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_13",191.715415019763,84.0539083557951,0.438430620444008,2.28086258890239,2,"pCUP-Cdc5[KD]","CuSO4"
"23","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_14_substack_frame_1_middleslice",738.43,228.29,3.23,0.31,2.75,7.34,3.84,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_14",160.877995642702,83.0145454545455,0.516009321989036,1.93794948538013,2,"pCUP-Cdc5[KD]","CuSO4"
"24","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_14_substack_frame_2_middleslice",802.88,185.3,4.33,0.23,2.89,8.06,4.13,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_14",155.295938104449,64.1176470588235,0.412873947905188,2.42204674107856,2,"pCUP-Cdc5[KD]","CuSO4"
"25","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_15_substack_frame_1_middleslice",1041.39,556.24,1.87,0.53,3.39,7.78,4.36,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_15",237.21867881549,164.082595870206,0.69169340580398,1.44572724216977,2,"pCUP-Cdc5[KD]","CuSO4"
"26","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_15_substack_frame_2_middleslice",1015.92,518.8,1.96,0.51,3.11,7.4,4.07,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_15",236.811188811189,166.816720257235,0.704429216772519,1.41958904626599,2,"pCUP-Cdc5[KD]","CuSO4"
"27","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_18_substack_frame_1_middleslice",770.19,366.1,2.1,0.48,3.67,8.79,4.84,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_18",150.427734375,99.7547683923706,0.663140801839724,1.50797537600724,2,"pCUP-Cdc5[KD]","CuSO4"
"28","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_18_substack_frame_2_middleslice",825.49,332.29,2.48,0.4,3.81,9.08,5.05,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_18",156.639468690702,87.2152230971129,0.556789574339828,1.7960106404393,2,"pCUP-Cdc5[KD]","CuSO4"
"29","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_19_substack_frame_1_middleslice",836.14,403.41,2.07,0.48,4.05,8.77,5.14,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_19",177.148305084746,99.6074074074074,0.562282587799846,1.77846517337999,2,"pCUP-Cdc5[KD]","CuSO4"
"30","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_19_substack_frame_2_middleslice",781.55,206.05,3.79,0.26,3.03,7.79,4.13,0,"Post","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_19",164.191176470588,68.003300330033,0.414171466407725,2.41445894057696,2,"pCUP-Cdc5[KD]","CuSO4"
"31","210428_29069_CuSO4_measurements.csv","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_1_substack_frame_1_middleslice",697.48,297.38,2.35,0.43,3.29,7.86,4.33,0,"Pre","210428_NewpCUPCdc5_Nup60GFP_01_12_R3D_D3D_nucleus_1",152.621444201313,90.3890577507599,0.592243496474412,1.68849469171538,2,"pCUP-Cdc5[KD]","CuSO4"
