 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_10_substack_frame_1,610.05,243.45,2.51,0.4,1.6,4.95,2.3,
2,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_10_substack_frame_2,686.2,270.57,2.54,0.39,2.6,6.89,3.53,
3,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_11_substack_frame_1,407.65,234.09,1.74,0.57,1.22,4.12,1.81,
4,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_11_substack_frame_2,455.04,337.49,1.35,0.74,0.79,3.4,1.31,
5,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_12_substack_frame_1,831.51,259.56,3.2,0.31,1.94,5.63,2.76,
6,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_12_substack_frame_2,758.82,365.84,2.07,0.48,2.94,7.32,3.89,
7,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_13_substack_frame_1,1093.15,408.88,2.67,0.37,3.17,7.55,4.14,
8,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_13_substack_frame_2,910.98,340.34,2.68,0.37,3.6,8.08,4.63,
9,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_14_substack_frame_1,807.12,285.04,2.83,0.35,3.29,8.04,4.4,
10,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_14_substack_frame_2,763.89,343.57,2.22,0.45,3.5,8.44,4.62,
11,210331_cdc5mncdc20mn_Nup60-GFP_01_21_R3D_D3D_nucleus_15_substack_frame_1,921.5,428.15,2.15,0.46,3.07,7.45,4.05,
