 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_10_substack_frame_1,442.18,217.88,2.03,0.49,1.22,4.21,1.83,
2,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_10_substack_frame_2,419.92,180.31,2.33,0.43,1.18,4.16,1.81,
3,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_11_substack_frame_1,972.58,430.16,2.26,0.44,2.79,6.8,3.66,
4,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_11_substack_frame_2,1109.74,379.31,2.93,0.34,2.56,6.58,3.43,
5,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_12_substack_frame_1,821.71,337.62,2.43,0.41,2.44,6.26,3.28,
6,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_12_substack_frame_2,0,0,0,0,0,0,0,
7,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_13_substack_frame_1,521.03,215.29,2.42,0.41,1.28,4.36,1.91,
8,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_13_substack_frame_2,589.53,217.4,2.71,0.37,1.38,4.55,2.03,
9,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_14_substack_frame_1,715.22,273.74,2.61,0.38,1.89,5.34,2.66,
10,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_14_substack_frame_2,672.79,253.81,2.65,0.38,2.12,5.95,2.98,
11,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_15_substack_frame_1,649.12,258.65,2.51,0.4,1.99,5.54,2.76,
12,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_15_substack_frame_2,661.73,252.86,2.62,0.38,2.74,7.22,3.74,
13,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_16_substack_frame_1,711.71,285.62,2.49,0.4,1.87,5.41,2.61,
14,210331_cdc5mncdc20mn_Nup60-GFP_01_11_R3D_D3D_nucleus_16_substack_frame_2,541.34,266.48,2.03,0.49,2.34,6.07,3.17,
