 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
116,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_1_substack_frame_4,0,0,0,0,0,0,0,
117,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_2_substack_frame_1,0,0,0,0,0,0,0,
118,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_2_substack_frame_2,0,0,0,0,0,0,0,
119,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_2_substack_frame_3,0,0,0,0,0,0,0,
120,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_2_substack_frame_4,0,0,0,0,0,0,0,
121,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_3_substack_frame_1,964.98,434.73,2.22,0.45,3.87,8.81,4.98,
122,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_3_substack_frame_2,815.72,238.69,3.42,0.29,2.34,6.63,3.31,
123,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_3_substack_frame_3,630.45,456.68,1.38,0.72,3.14,8.72,4.41,
124,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_3_substack_frame_4,549.98,279.24,1.97,0.51,2.47,6.67,3.44,
125,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_4_substack_frame_1,867.14,260.42,3.33,0.3,3.08,7.65,4.08,
126,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_4_substack_frame_2,691.83,227.14,3.05,0.33,2.33,6.53,3.3,
127,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_4_substack_frame_3,807.37,537.41,1.5,0.67,4.78,12.81,6.68,
128,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_4_substack_frame_4,432.95,197.32,2.19,0.46,1.91,5.46,2.72,
129,201211_HighTimeResolution_Nup60GFP_01_29_R3D_D3D_nucleus_5_substack_frame_1,909.57,371.29,2.45,0.41,3.81,8.53,4.88,
