 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_10_substack_frame_1_middleslice,1247.89,485.48,2.57,0.39,4.17,9.49,5.37,
2,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_10_substack_frame_2_middleslice,950.91,546.52,1.74,0.57,3.49,7.96,4.51,
3,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_11_substack_frame_1_middleslice,1020.66,277.57,3.68,0.27,3.09,7.74,4.16,
4,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_11_substack_frame_2_middleslice,842.72,420.97,2,0.5,3.1,7.54,4.1,
5,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_12_substack_frame_1_middleslice,733.64,259.52,2.83,0.35,2.17,5.9,2.98,
6,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_12_substack_frame_2_middleslice,618.63,255.94,2.42,0.41,2.12,5.85,2.94,
7,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_13_substack_frame_1_middleslice,641.28,205.11,3.13,0.32,3.66,8.42,4.71,
8,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_13_substack_frame_2_middleslice,595.03,239.2,2.49,0.4,3.75,8.51,4.82,
9,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_14_substack_frame_1_middleslice,751.26,314.12,2.39,0.42,2.24,6.25,3.12,
10,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_14_substack_frame_2_middleslice,622.81,319.64,1.95,0.51,2.34,6.26,3.18,
11,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_15_substack_frame_1_middleslice,894.39,406.52,2.2,0.45,3.37,8.03,4.43,
12,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_15_substack_frame_2_middleslice,828.39,391.11,2.12,0.47,2.9,7.47,3.93,
13,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_16_substack_frame_1_middleslice,862.82,273.73,3.15,0.32,2.67,6.68,3.54,
14,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_16_substack_frame_2_middleslice,575.81,276.92,2.08,0.48,2.66,6.86,3.59,
15,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_17_substack_frame_1_middleslice,931.93,324.02,2.88,0.35,3.35,8.01,4.41,1
16,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_17_substack_frame_2_middleslice,1146.76,524.71,2.19,0.46,3.03,7.41,4.05,
17,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_18_substack_frame_1_middleslice,930.66,316.57,2.94,0.34,3.52,8.18,4.58,
18,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_18_substack_frame_2_middleslice,831.76,404.76,2.05,0.49,3.47,8.04,4.52,
19,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_19_substack_frame_1_middleslice,982.83,319.61,3.08,0.33,2.91,7.86,4.14,
20,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_19_substack_frame_2_middleslice,791.61,359.38,2.2,0.45,3.25,7.73,4.28,
21,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_1_substack_frame_1_middleslice,486.13,257.59,1.89,0.53,3.92,8.77,5.01,
22,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_1_substack_frame_2_middleslice,462.78,252.98,1.83,0.55,2.94,7.23,3.89,
23,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_20_substack_frame_1_middleslice,878.53,303.82,2.89,0.35,3.26,7.83,4.28,
24,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_20_substack_frame_2_middleslice,840.57,391.18,2.15,0.47,3.39,7.96,4.41,
25,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_21_substack_frame_1_middleslice,1047.23,520.56,2.01,0.5,3.59,8.25,4.63,
26,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_21_substack_frame_2_middleslice,1033.43,456.95,2.26,0.44,3.32,8.16,4.42,
27,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_22_substack_frame_1_middleslice,1027.01,357.98,2.87,0.35,3.85,8.51,4.92,
28,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_22_substack_frame_2_middleslice,843.38,503.81,1.67,0.6,4.3,9.15,5.37,
29,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_2_substack_frame_1_middleslice,853.25,361.45,2.36,0.42,2.32,6.14,3.16,
30,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_2_substack_frame_2_middleslice,678.8,300.76,2.26,0.44,2.16,5.89,3,
31,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_3_substack_frame_1_middleslice,780.5,291.31,2.68,0.37,2.65,6.94,3.59,
32,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_3_substack_frame_2_middleslice,778.55,283.21,2.75,0.36,2.49,6.51,3.42,
33,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1040.29,331.85,3.13,0.32,3.25,7.92,4.33,
34,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_4_substack_frame_2_middleslice,926.14,429.41,2.16,0.46,3.47,8.29,4.56,
35,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_5_substack_frame_1_middleslice,921.09,420.89,2.19,0.46,3.47,8.04,4.48,
36,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_5_substack_frame_2_middleslice,893.08,445.28,2.01,0.5,3.22,7.97,4.28,
37,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_6_substack_frame_1_middleslice,899.25,275.7,3.26,0.31,1.67,5.12,2.4,
38,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_6_substack_frame_2_middleslice,674.62,316.52,2.13,0.47,1.92,5.56,2.69,
39,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_7_substack_frame_1_middleslice,692.59,345.42,2.01,0.5,3.08,7.37,4.01,
40,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_7_substack_frame_2_middleslice,587.06,317.58,1.85,0.54,2.68,6.97,3.68,
41,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_8_substack_frame_1_middleslice,537.67,212.83,2.53,0.4,1.55,4.91,2.25,
42,210525_pCUPCdc5_Nup60Phosphomutants_01_11_R3D_D3D_nucleus_8_substack_frame_2_middleslice,538.53,212.3,2.54,0.39,1.46,4.63,2.11,
