 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_10_substack_frame_1_middleslice,1084.18,380.56,2.85,0.35,3.39,8,4.45,
2,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_10_substack_frame_2_middleslice,702.48,569.6,1.23,0.81,4.09,8.94,5.19,
3,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_11_substack_frame_1_middleslice,853.29,327.37,2.61,0.38,3.02,7.5,4,
4,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_11_substack_frame_2_middleslice,529.65,450.79,1.17,0.85,3.93,8.84,5.06,
5,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_12_substack_frame_1_middleslice,1128.8,390.73,2.89,0.35,3.99,8.84,5.06,
6,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_12_substack_frame_2_middleslice,737.69,527.26,1.4,0.71,4.13,9.16,5.27,
7,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_13_substack_frame_1_middleslice,897.2,296.7,3.02,0.33,2.93,7.31,3.91,
8,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_13_substack_frame_2_middleslice,619.37,378.23,1.64,0.61,2.83,7.31,3.82,
9,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_14_substack_frame_1_middleslice,752.78,261.88,2.87,0.35,3.12,7.69,4.16,
10,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_14_substack_frame_2_middleslice,562.33,366.56,1.53,0.65,3.21,8.15,4.3,
11,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_15_substack_frame_1_middleslice,555.45,236.51,2.35,0.43,1.92,5.37,2.66,
12,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_15_substack_frame_2_middleslice,500.89,205.17,2.44,0.41,1.92,5.56,2.69,
13,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_16_substack_frame_1_middleslice,570.89,274.91,2.08,0.48,2.9,7.1,3.86,
14,210824_pCUPCdc5_Nup60Phosphomutants2_01_11_R3D_D3D_nucleus_16_substack_frame_2_middleslice,465.18,235.27,1.98,0.51,2.05,5.69,2.83,
