 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_1_substack_frame_1,0,0,0,0,0,0,0,
2,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_1_substack_frame_2,0,0,0,0,0,0,0,
3,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_1_substack_frame_3,0,0,0,0,0,0,0,
4,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_2_substack_frame_1,428.99,133.78,3.21,0.31,1.52,5.04,2.29,
5,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_2_substack_frame_2,353.43,239.42,1.48,0.68,2.15,6.25,3.08,
6,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_2_substack_frame_3,293.03,69.58,4.21,0.24,0.91,3.71,1.47,
7,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_3_substack_frame_1,492.26,170.06,2.89,0.35,2.63,6.74,3.59,
8,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_3_substack_frame_2,528.4,354.64,1.49,0.67,3.5,8.91,4.75,
9,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_3_substack_frame_3,593.76,219.07,2.71,0.37,2.95,9.48,4.47,
10,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_4_substack_frame_1,727.71,323.75,2.25,0.44,3.37,8.22,4.45,
11,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_4_substack_frame_2,458.99,336.32,1.36,0.73,2.58,6.96,3.6,
12,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_4_substack_frame_3,414.93,136.59,3.04,0.33,1.48,4.8,2.22,
13,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_5_substack_frame_1,793.38,282.2,2.81,0.36,2.65,6.94,3.58,
14,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_5_substack_frame_2,557.36,470.42,1.18,0.84,3.85,9.16,5.05,
15,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_5_substack_frame_3,415.66,174.32,2.38,0.42,1.91,5.55,2.7,
16,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_6_substack_frame_1,681.22,278.47,2.45,0.41,3.14,8.08,4.26,
17,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_6_substack_frame_2,710.44,668.04,1.06,0.94,5.56,12.24,7.11,
18,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_21_R3D_D3D_nucleus_6_substack_frame_3,362.7,116.01,3.13,0.32,1.63,4.99,2.37,
19,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_10_substack_frame_1,591.98,331.42,1.79,0.56,3.53,8.2,4.62,
20,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_10_substack_frame_2,535.18,453.5,1.18,0.85,3.79,9.01,4.98,
21,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_10_substack_frame_3,773.82,354.72,2.18,0.46,4.26,12.09,6.07,
22,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_1_substack_frame_1,963.82,357.79,2.69,0.37,3.04,7.71,4.07,
23,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_1_substack_frame_2,468.24,230.51,2.03,0.49,1.49,4.94,2.24,
24,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_1_substack_frame_3,457.11,183.98,2.48,0.4,1.88,5.61,2.7,
25,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_2_substack_frame_1,585.61,359.6,1.63,0.61,3.21,7.68,4.26,
26,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_2_substack_frame_2,357.7,358.71,1,1,2.75,6.95,3.67,
27,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_2_substack_frame_3,364.7,178.12,2.05,0.49,1.61,4.97,2.34,
28,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_3_substack_frame_1,838.22,302.02,2.78,0.36,2.72,7.08,3.72,
29,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_3_substack_frame_2,782.65,674.82,1.16,0.86,4.57,11.1,6.09,
30,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_3_substack_frame_3,477.97,183.87,2.6,0.38,1.89,5.43,2.67,
31,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_4_substack_frame_1,868.55,350.01,2.48,0.4,3.25,8.07,4.33,
32,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_4_substack_frame_2,575.73,520.02,1.11,0.9,3.38,8.14,4.43,
33,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_4_substack_frame_3,478.49,232.09,2.06,0.49,1.75,5.57,2.6,
34,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_5_substack_frame_1,798.85,297.42,2.69,0.37,2.86,7.24,3.81,
35,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_5_substack_frame_2,878.02,685.23,1.28,0.78,5.41,13.86,7.41,
36,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_5_substack_frame_3,467.72,167.63,2.79,0.36,1.94,5.57,2.75,
37,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_6_substack_frame_1,585.33,252.86,2.31,0.43,3.08,7.46,4.08,
38,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_6_substack_frame_2,417.75,201.43,2.07,0.48,1.92,5.53,2.69,
39,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_6_substack_frame_3,495.01,160.7,3.08,0.32,1.82,5.46,2.61,
40,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_7_substack_frame_1,591.94,289.27,2.05,0.49,3.17,7.46,4.15,
41,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_7_substack_frame_2,392.24,374.92,1.05,0.96,3.56,8.59,4.71,
42,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_7_substack_frame_3,460.51,206.18,2.23,0.45,2.55,6.84,3.51,
43,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_8_substack_frame_1,805.64,480.46,1.68,0.6,4.55,10.01,5.85,
44,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_8_substack_frame_2,578.98,557.99,1.04,0.96,4.58,10.27,5.86,
45,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_8_substack_frame_3,462.78,291.1,1.59,0.63,3.18,7.94,4.3,
46,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_9_substack_frame_1,918.28,377.25,2.43,0.41,3.77,8.8,4.93,
47,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_9_substack_frame_2,778,535.88,1.45,0.69,4.4,9.71,5.63,
48,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_22_R3D_D3D_nucleus_9_substack_frame_3,447.81,220.42,2.03,0.49,2.15,6.06,3.01,
49,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_23_R3D_D3D_nucleus_1_substack_frame_1,667.42,288.49,2.31,0.43,3.17,7.71,4.23,
50,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_23_R3D_D3D_nucleus_1_substack_frame_2,484.25,349.71,1.38,0.72,2.6,6.61,3.49,
51,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_23_R3D_D3D_nucleus_1_substack_frame_3,531.62,220.94,2.41,0.42,2.15,5.88,2.96,
52,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_23_R3D_D3D_nucleus_2_substack_frame_1,773.45,370.46,2.09,0.48,3.32,7.71,4.3,
53,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_23_R3D_D3D_nucleus_2_substack_frame_2,448.79,184.36,2.43,0.41,1.22,4.21,1.87,
54,210527_Nup60GFP_phosphomutants2_hightimeresolution_01_23_R3D_D3D_nucleus_2_substack_frame_3,509.01,182.07,2.8,0.36,1.75,5.39,2.55,
