"","Data.Set","Image","Nuclear.Envelope","Nucleoplasm","NE.Nuc.Ratio","Nuc.NE.Ratio","Nucleoplasmic.Area","WholeNuc.Area","Nuc.Area","BAD","Time.point","Nucleus.ID","NE.mean","Nuc.mean","Norm.Nuc.NE.Ratio","Norm.NE.Nuc.Ratio","n","Sample","Experiment"
"114","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_7_substack_frame_2_middleslice",639.26,336.3,1.9,0.53,2.69,6.86,3.61,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_7",153.299760191847,125.018587360595,0.815517175004975,1.22621574462107,2,"Nup60-WT","pCUP-Cdc5_induction"
"115","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_8_substack_frame_1_middleslice",1012.28,504.2,2.01,0.5,3.81,8.66,4.91,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_8",208.717525773196,132.335958005249,0.634043344060398,1.57717924076929,2,"Nup60-WT","pCUP-Cdc5_induction"
"116","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_8_substack_frame_2_middleslice",858.95,527.8,1.63,0.61,3.24,7.81,4.27,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_8",187.954048140044,162.901234567901,0.866707773415575,1.15379142852168,2,"Nup60-WT","pCUP-Cdc5_induction"
"117","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_9_substack_frame_1_middleslice",708.88,405.85,1.75,0.57,2.68,6.97,3.64,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_9",165.240093240093,151.436567164179,0.916463820582226,1.09115054794493,2,"Nup60-WT","pCUP-Cdc5_induction"
"118","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_9_substack_frame_2_middleslice",585.77,379.53,1.54,0.65,2.83,7.12,3.78,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_07_R3D_D3D_nucleus_9",136.543123543124,134.109540636042,0.98217718443864,1.01814623251664,2,"Nup60-WT","pCUP-Cdc5_induction"
"119","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_11_substack_frame_1_middleslice",754.66,317.03,2.38,0.42,2.89,7.18,3.82,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_11",175.911421911422,109.698961937716,0.623603406451651,1.6035832865155,2,"Nup60-WT","pCUP-Cdc5_induction"
"120","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_11_substack_frame_2_middleslice",652.87,470.26,1.39,0.72,4.01,9.42,5.23,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_11",120.678373382625,117.271820448878,0.971771636969732,1.0290483504111,2,"Nup60-WT","pCUP-Cdc5_induction"
"121","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_12_substack_frame_1_middleslice",943.74,538.16,1.75,0.57,3.75,8.51,4.83,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_12",198.264705882353,143.509333333333,0.723826929733472,1.38154572442921,2,"Nup60-WT","pCUP-Cdc5_induction"
"122","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_12_substack_frame_2_middleslice",898.04,591.62,1.52,0.66,3.24,7.53,4.22,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_12",209.333333333333,182.598765432099,0.872287096013211,1.14641154795308,2,"Nup60-WT","pCUP-Cdc5_induction"
"123","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_13_substack_frame_1_middleslice",732.91,319.35,2.29,0.44,2.62,6.63,3.49,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_13",182.770573566085,121.889312977099,0.666897907025648,1.49947988959807,2,"Nup60-WT","pCUP-Cdc5_induction"
"124","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_13_substack_frame_2_middleslice",633.88,380.48,1.67,0.6,2.41,6.33,3.31,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_13",161.704081632653,157.875518672199,0.976323646739163,1.02425051706974,2,"Nup60-WT","pCUP-Cdc5_induction"
"125","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_15_substack_frame_1_middleslice",767.91,413.1,1.86,0.54,3.84,8.59,4.91,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_15",161.665263157895,107.578125,0.665437478024769,1.50277078316707,2,"Nup60-WT","pCUP-Cdc5_induction"
"126","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_15_substack_frame_2_middleslice",670.7,526.51,1.27,0.79,3.51,8.36,4.59,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_15",138.288659793814,150.002849002849,1.08470824163384,0.921906888523083,2,"Nup60-WT","pCUP-Cdc5_induction"
"127","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_16_substack_frame_1_middleslice",786.16,274.2,2.87,0.35,2.56,6.86,3.56,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_16",182.827906976744,107.109375,0.585848062099318,1.70692721320374,2,"Nup60-WT","pCUP-Cdc5_induction"
"128","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_16_substack_frame_2_middleslice",763.65,410.65,1.86,0.54,2.81,7.1,3.74,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_16",178.006993006993,146.138790035587,0.82097218523233,1.21806806367868,2,"Nup60-WT","pCUP-Cdc5_induction"
"129","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_1_substack_frame_1_middleslice",1020.34,389.63,2.62,0.38,3.52,8.18,4.62,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_1",218.957081545064,110.690340909091,0.505534418562796,1.97810468146351,2,"Nup60-WT","pCUP-Cdc5_induction"
"130","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_1_substack_frame_2_middleslice",925.69,602.74,1.54,0.65,3.56,8.13,4.58,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_1",202.557986870897,169.308988764045,0.835854420650202,1.19638058409993,2,"Nup60-WT","pCUP-Cdc5_induction"
"131","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_2_substack_frame_1_middleslice",626.24,292.28,2.14,0.47,2.24,6.16,3.11,0,"Pre","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_2",159.755102040816,130.482142857143,0.816763541134389,1.22434456196602,2,"Nup60-WT","pCUP-Cdc5_induction"
"132","210525_29129_measurements.csv","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_2_substack_frame_2_middleslice",442.64,447.01,0.99,1.01,3.42,7.8,4.37,0,"Post","210525_pCUPCdc5_Nup60Phosphomutants_01_08_R3D_D3D_nucleus_2",101.059360730594,130.704678362573,1.29334558835187,0.773188549917519,2,"Nup60-WT","pCUP-Cdc5_induction"
