 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_10_substack_frame_1,417.06,309.26,1.35,0.74,2.93,7.22,3.88,
2,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_10_substack_frame_2,416.21,303.57,1.37,0.73,3.52,8.37,4.62,
3,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_11_substack_frame_1,490.76,214.72,2.29,0.44,1.61,4.87,2.31,
4,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_11_substack_frame_2,417.02,243.89,1.71,0.58,3.09,7.47,4.07,
5,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_12_substack_frame_1,484.69,307.94,1.57,0.64,2.74,7.12,3.74,
6,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_12_substack_frame_2,402.14,228.78,1.76,0.57,2.56,7.12,3.63,
7,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_13_substack_frame_1,387.4,228.94,1.69,0.59,2.34,6.17,3.18,
8,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_13_substack_frame_2,341.17,203.85,1.67,0.6,2.86,7.15,3.79,
9,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_14_substack_frame_1,530.31,338.69,1.57,0.64,3.51,7.99,4.51,
10,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_14_substack_frame_2,367.6,181.62,2.02,0.49,2.3,6.4,3.25,
11,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_31_R3D_D3D_nucleus_15_substack_frame_1,493.37,289.75,1.7,0.59,2.13,5.77,2.91,
