 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
221,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_36_substack_frame_1,441.91,291.71,1.51,0.66,2.52,6.53,3.4,
222,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_36_substack_frame_2,507.48,297.15,1.71,0.59,3.36,8.21,4.48,
223,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_37_substack_frame_1,381.83,162.49,2.35,0.43,1.25,4.42,1.9,
224,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_37_substack_frame_2,301.64,127.43,2.37,0.42,1.1,3.99,1.69,
225,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_3_substack_frame_1,510.59,282.88,1.8,0.55,2.56,6.48,3.43,
226,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_3_substack_frame_2,376.57,259.75,1.45,0.69,3.24,7.62,4.21,
227,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_4_substack_frame_1,629.47,384.14,1.64,0.61,3.05,7.44,4.06,
228,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_4_substack_frame_2,588.5,359.31,1.64,0.61,3.68,9.19,4.95,
229,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_5_substack_frame_1,636.48,321.59,1.98,0.51,3.19,7.47,4.15,
230,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_5_substack_frame_2,474.2,227.91,2.08,0.48,2.66,6.86,3.6,
231,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_6_substack_frame_1,586.02,321.38,1.82,0.55,3.25,7.73,4.26,
232,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_6_substack_frame_2,430.04,337.82,1.27,0.79,4.23,9.18,5.39,
233,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_7_substack_frame_1,468.87,277.59,1.69,0.59,3.01,7.39,4,
234,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_7_substack_frame_2,366.77,191.95,1.91,0.52,2.66,6.83,3.61,
235,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_8_substack_frame_1,410.58,162.22,2.53,0.4,1.46,4.63,2.12,
236,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_8_substack_frame_2,379.37,181.16,2.09,0.48,1.88,5.42,2.62,
237,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_9_substack_frame_1,504.04,263.09,1.92,0.52,2.38,6.3,3.28,
238,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_24_R3D_D3D_nucleus_9_substack_frame_2,411.15,309.01,1.33,0.75,3.07,7.17,4,
239,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_10_substack_frame_1,394.45,185.7,2.12,0.47,1.74,5.19,2.46,
240,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_10_substack_frame_2,372.4,302.84,1.23,0.81,3.24,7.62,4.2,
241,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_11_substack_frame_1,478.77,309.55,1.55,0.65,2.55,6.47,3.44,
242,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_11_substack_frame_2,484.92,416.97,1.16,0.86,3.93,8.87,5.06,
243,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_12_substack_frame_1,462.12,253.31,1.82,0.55,2.58,6.68,3.46,
244,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_12_substack_frame_2,399.49,269.17,1.48,0.67,3.09,7.75,4.16,
245,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_13_substack_frame_1,443.57,173.85,2.55,0.39,1.62,4.88,2.36,
246,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_13_substack_frame_2,345.76,289.59,1.19,0.84,3.24,7.81,4.27,
247,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_14_substack_frame_1,434.18,188.11,2.31,0.43,1.89,5.43,2.65,
248,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_14_substack_frame_2,381.64,225.06,1.7,0.59,3.32,7.89,4.42,
249,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_15_substack_frame_1,646.11,298.4,2.17,0.46,2.76,6.87,3.7,
250,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_15_substack_frame_2,567.83,370.1,1.53,0.65,4.14,9.18,5.26,
251,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_16_substack_frame_1,570.23,333.39,1.71,0.58,3.26,7.74,4.27,
252,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_16_substack_frame_2,476.34,244.29,1.95,0.51,3.25,8.18,4.38,
253,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_17_substack_frame_1,544.89,271.24,2.01,0.5,3.07,7.45,4.03,
254,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_17_substack_frame_2,485.59,314.48,1.54,0.65,3.29,8.39,4.48,
255,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_18_substack_frame_1,549.36,203.2,2.7,0.37,2.25,5.98,3.07,1
256,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_18_substack_frame_2,371.06,137.52,2.7,0.37,1.59,5.68,2.54,
257,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_19_substack_frame_1,503.52,267.52,1.88,0.53,2.52,6.72,3.47,
258,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_19_substack_frame_2,428.36,299.14,1.43,0.7,3.02,7.22,3.95,
259,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_1_substack_frame_1,423.01,207.37,2.04,0.49,2.1,5.92,2.91,
260,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_1_substack_frame_2,457.23,301.62,1.52,0.66,3.96,9.56,5.26,
261,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_20_substack_frame_1,495.64,288.41,1.72,0.58,2.29,6.2,3.12,
262,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_20_substack_frame_2,377.04,214.91,1.75,0.57,2.48,6.59,3.39,
263,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_21_substack_frame_1,448.24,314.14,1.43,0.7,3.19,7.76,4.22,
264,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_21_substack_frame_2,373.24,251.66,1.48,0.67,3.3,7.96,4.35,
265,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_22_substack_frame_1,354.96,230.19,1.54,0.65,1.91,5.55,2.69,
266,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_22_substack_frame_2,396.09,245.18,1.62,0.62,2.34,6.26,3.18,
267,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_23_substack_frame_1,510.33,272.44,1.87,0.53,2.91,7.21,3.89,
268,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_23_substack_frame_2,418.49,201.1,2.08,0.48,2.68,7.29,3.72,
269,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_24_substack_frame_1,382.22,278.99,1.37,0.73,2.94,7.23,3.89,
270,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_25_R3D_D3D_nucleus_24_substack_frame_2,430.1,260.23,1.65,0.61,3.02,7.58,4.05,
