 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_10_substack_frame_1,368.64,218,1.69,0.59,2.8,7,3.73,
2,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_10_substack_frame_2,408.82,235.57,1.74,0.58,1.8,5.81,2.68,
3,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_11_substack_frame_1,419.98,218.52,1.92,0.52,2.55,6.56,3.42,
4,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_11_substack_frame_2,316.29,182.77,1.73,0.58,1.76,5.77,2.63,
5,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_12_substack_frame_1,520.51,253.56,2.05,0.49,2.76,6.96,3.68,
6,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_12_substack_frame_2,0,0,0,0,0,0,0,
7,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_13_substack_frame_1,498.45,199.41,2.5,0.4,2.39,6.4,3.3,
8,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_13_substack_frame_2,314.2,305.81,1.03,0.97,2.82,7.3,3.82,
9,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_14_substack_frame_1,469.57,214.09,2.19,0.46,2.69,6.8,3.6,
10,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_14_substack_frame_2,299.8,257.11,1.17,0.86,2.44,6.6,3.37,
11,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_15_substack_frame_1,361.59,246.75,1.47,0.68,2.38,6.3,3.26,1
12,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_15_substack_frame_2,390.54,218.88,1.78,0.56,1.83,6.23,2.88,
13,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_16_substack_frame_1,423,305.76,1.38,0.72,3.19,7.67,4.23,
14,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_16_substack_frame_2,300.76,161.58,1.86,0.54,1.4,4.66,2.11,
15,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_17_substack_frame_1,526.78,355.91,1.48,0.68,3.88,8.7,4.98,
16,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_17_substack_frame_2,0,0,0,0,0,0,0,
17,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_18_substack_frame_1,494.76,241.76,2.05,0.49,2.31,6.13,3.15,
18,210401_cdc5mncdc20mn_Nup60delta2-47-GFP_01_11_R3D_D3D_nucleus_18_substack_frame_2,303.5,293.98,1.03,0.97,2.73,6.93,3.64,
