File,Sample,Experiment
210524_14646_measurements.csv,Nup60-WT,Meiosis_timelapse
210524_29265_measurements.csv,Nup60-S89A,Meiosis_timelapse
210524_29441_measurements.csv,Nup60-Nterm3A,Meiosis_timelapse
210524_29443_measurements.csv,Nup60-Nterm5A,Meiosis_timelapse
210527_14646_measurements.csv,Nup60-WT,Meiosis_timelapse
210527_29267_measurements.csv,Nup60-Cterm4A,Meiosis_timelapse
210527_29358_measurements.csv,Nup60-9A,Meiosis_timelapse
