 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1394.29,409.65,3.4,0.29,2.66,6.95,3.61,
2,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_1_substack_frame_2_middleslice,1036.04,375.81,2.76,0.36,3.31,8.63,4.52,
3,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_1_substack_frame_3_middleslice,1077.92,394.66,2.73,0.37,2.83,7.12,3.77,
4,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1634.03,420.07,3.89,0.26,3.05,7.34,4.01,
5,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_2_substack_frame_2_middleslice,942.39,485.25,1.94,0.51,2.47,6.48,3.33,
6,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_2_substack_frame_3_middleslice,1050.01,440.82,2.38,0.42,2.09,5.82,2.9,
7,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1830.33,498.93,3.67,0.27,3.43,8.39,4.59,
8,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1304.36,335.27,3.89,0.26,2.44,6.35,3.28,
9,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_3_substack_frame_3_middleslice,1327.46,461.16,2.88,0.35,2.9,7.19,3.84,
10,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1358.31,349.79,3.88,0.26,2.22,6.23,3.08,
11,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_4_substack_frame_2_middleslice,1175.55,467.42,2.51,0.4,3,7.94,4.09,
12,210821_VariousHighTimeResolutionMovies_01_22_R3D_D3D_nucleus_4_substack_frame_3_middleslice,830.21,238.43,3.48,0.29,1.6,4.95,2.3,
13,210821_VariousHighTimeResolutionMovies_01_23_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1151.18,363.42,3.17,0.32,2.52,6.72,3.43,
14,210821_VariousHighTimeResolutionMovies_01_23_R3D_D3D_nucleus_1_substack_frame_2_middleslice,1634.06,713.8,2.29,0.44,4.17,10.52,5.62,
15,210821_VariousHighTimeResolutionMovies_01_23_R3D_D3D_nucleus_1_substack_frame_3_middleslice,1595.37,584.19,2.73,0.37,3.28,9.06,4.61,
16,210821_VariousHighTimeResolutionMovies_01_24_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1449.86,425.83,3.4,0.29,2.86,7.15,3.81,
17,210821_VariousHighTimeResolutionMovies_01_24_R3D_D3D_nucleus_1_substack_frame_2_middleslice,1358.31,509.94,2.66,0.38,2.9,8.87,4.3,
18,210821_VariousHighTimeResolutionMovies_01_24_R3D_D3D_nucleus_1_substack_frame_3_middleslice,1314.01,459.96,2.86,0.35,2.98,8.48,4.23,
19,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1485.28,518.96,2.86,0.35,3.05,7.34,4.03,
20,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_1_substack_frame_2_middleslice,1253.23,480.68,2.61,0.38,3.56,8.5,4.68,
21,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_1_substack_frame_3_middleslice,1546.78,550.79,2.81,0.36,3.43,10.04,5.05,
22,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1132.23,446.02,2.54,0.39,2.76,6.77,3.63,
23,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_2_substack_frame_2_middleslice,1104.03,466.9,2.36,0.42,3.08,8.95,4.48,
24,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_2_substack_frame_3_middleslice,893.06,260.77,3.42,0.29,1.59,4.94,2.29,
25,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1642.74,432.83,3.8,0.26,2.96,7.62,3.99,
26,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1693.71,606.01,2.79,0.36,4.05,10.85,5.63,
27,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_3_substack_frame_3_middleslice,1567.14,484.65,3.23,0.31,3.26,8.11,4.38,
28,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1440.33,299.74,4.81,0.21,2.24,6.16,3.11,
29,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_4_substack_frame_2_middleslice,1577.99,714.02,2.21,0.45,4.52,10.77,5.97,
30,210821_VariousHighTimeResolutionMovies_01_25_R3D_D3D_nucleus_4_substack_frame_3_middleslice,1724.3,656.45,2.63,0.38,3.51,9.48,4.9,
31,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1540.01,455.73,3.38,0.3,2.74,7.01,3.68,
32,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_1_substack_frame_2_middleslice,921.76,236.11,3.9,0.26,1.39,4.56,2.05,
33,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_1_substack_frame_3_middleslice,858.59,271.74,3.16,0.32,1.88,5.42,2.65,
34,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1613.85,480.26,3.36,0.3,2.97,7.26,3.93,
35,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_2_substack_frame_2_middleslice,1571.64,642.59,2.45,0.41,4.02,9.43,5.26,
36,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_2_substack_frame_3_middleslice,955.47,270.78,3.53,0.28,2.06,5.79,2.86,
37,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1503.98,399.81,3.76,0.27,3.02,7.75,4.13,
38,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1184.56,402.92,2.94,0.34,2.01,5.83,2.84,
39,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_3_substack_frame_3_middleslice,1040.76,276.64,3.76,0.27,1.75,5.2,2.47,
40,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1126.22,292.01,3.86,0.26,2.36,6.18,3.17,
41,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_4_substack_frame_2_middleslice,1001.49,424.72,2.36,0.42,3.18,8.59,4.42,
42,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_4_substack_frame_3_middleslice,722.97,212.96,3.39,0.29,1.69,5.14,2.41,
43,210821_VariousHighTimeResolutionMovies_01_26_R3D_D3D_nucleus_5_substack_frame_1_middleslice,1400.72,428.09,3.27,0.31,3.3,8.06,4.35,
