 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
110,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_1_substack_frame_2_middleslice,708.74,341.26,2.08,0.48,4.4,11.58,6.11,
111,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_1_substack_frame_3_middleslice,438.17,157.66,2.78,0.36,2.27,6.28,3.16,
112,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_2_substack_frame_1_middleslice,665.83,229.67,2.9,0.34,3.33,7.9,4.36,
113,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_2_substack_frame_2_middleslice,461.03,322.08,1.43,0.7,3.32,7.89,4.41,
114,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_2_substack_frame_3_middleslice,361.02,128.84,2.8,0.36,1.56,5.01,2.29,
115,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_3_substack_frame_1_middleslice,610.54,169.31,3.61,0.28,2.53,6.54,3.42,
116,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_3_substack_frame_2_middleslice,634.16,341.81,1.86,0.54,3.95,10.2,5.42,
117,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_3_substack_frame_3_middleslice,425.76,125.38,3.4,0.29,1.82,5.36,2.58,
118,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_4_substack_frame_1_middleslice,604.78,167.45,3.61,0.28,2.83,6.94,3.75,
119,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_4_substack_frame_2_middleslice,635.7,341.9,1.86,0.54,3.98,9.66,5.26,
120,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_4_substack_frame_3_middleslice,383,123.03,3.11,0.32,1.78,5.33,2.54,
121,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_5_substack_frame_1_middleslice,565.2,171.24,3.3,0.3,2.6,6.8,3.52,
122,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_5_substack_frame_2_middleslice,697.28,410.56,1.7,0.59,5.37,13.3,7.23,
123,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_5_substack_frame_3_middleslice,449.3,171.19,2.62,0.38,2.11,6.03,2.97,
124,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_6_substack_frame_1_middleslice,411.05,163.98,2.51,0.4,2.69,6.98,3.64,
125,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_6_substack_frame_2_middleslice,388.58,182.03,2.13,0.47,2.32,7.26,3.49,
126,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_6_substack_frame_3_middleslice,258.54,100.05,2.58,0.39,1.67,5.12,2.39,
127,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_7_substack_frame_1_middleslice,480.49,185.91,2.58,0.39,2.48,6.4,3.33,
128,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_7_substack_frame_2_middleslice,362.33,177.57,2.04,0.49,1.97,6.17,2.94,
129,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_7_substack_frame_3_middleslice,334.94,79.85,4.19,0.24,1.18,4.35,1.87,
130,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_8_substack_frame_1_middleslice,548.54,167.15,3.28,0.3,2.72,6.88,3.66,
131,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_8_substack_frame_2_middleslice,352.14,152.21,2.31,0.43,1.83,5.65,2.67,
132,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_8_substack_frame_3_middleslice,355.83,122.24,2.91,0.34,1.88,5.42,2.62,
133,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_9_substack_frame_1_middleslice,492,178.96,2.75,0.36,2.93,7.4,3.92,
134,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_9_substack_frame_2_middleslice,390.82,257.01,1.52,0.66,3.52,8.37,4.68,
135,210210_Nup1GFP_HighTimeResolution_01_25_R3D_D3D_nucleus_9_substack_frame_3_middleslice,417.13,224.45,1.86,0.54,3.7,8.35,4.78,
136,210210_Nup1GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_1_substack_frame_1_middleslice,518.06,147.77,3.51,0.29,2.46,6.47,3.32,
137,210210_Nup1GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_1_substack_frame_2_middleslice,427.22,255.63,1.67,0.6,2.77,7.16,3.87,
138,210210_Nup1GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_1_substack_frame_3_middleslice,379.83,147.64,2.57,0.39,2.1,6.02,2.98,
