 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_1_substack_frame_1_middleslice,356.79,134.6,2.65,0.38,3.01,7.86,4.1,
2,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_1_substack_frame_2_middleslice,268.37,93.56,2.87,0.35,2.25,6.63,3.23,
3,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_1_substack_frame_3_middleslice,198.74,98.86,2.01,0.5,2.03,5.76,2.94,
4,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_2_substack_frame_1_middleslice,339.62,116.75,2.91,0.34,3.05,7.72,4.09,
5,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_2_substack_frame_2_middleslice,296.92,112.86,2.63,0.38,2.29,6.48,3.29,
6,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_2_substack_frame_3_middleslice,283.65,79.98,3.55,0.28,1.85,5.58,2.67,
7,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_3_substack_frame_1_middleslice,332.26,107.41,3.09,0.32,2.68,6.88,3.64,
8,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_3_substack_frame_2_middleslice,507.71,240.81,2.11,0.47,4.5,12.52,6.39,
9,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_3_substack_frame_3_middleslice,229.91,91.67,2.51,0.4,1.74,5.28,2.51,
10,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_4_substack_frame_1_middleslice,417.8,147,2.84,0.35,2.82,7.46,3.85,
11,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_4_substack_frame_2_middleslice,222.57,88.63,2.51,0.4,1.73,5.18,2.45,
12,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_4_substack_frame_3_middleslice,0,0,0,0,0,0,0,
13,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_5_substack_frame_1_middleslice,406.28,141.84,2.86,0.35,3.19,9.72,4.77,1
14,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_5_substack_frame_2_middleslice,328.08,113.75,2.88,0.35,3.35,8.01,4.41,
15,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_5_substack_frame_3_middleslice,290.02,183.74,1.58,0.63,3.94,9.35,5.19,
16,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_6_substack_frame_1_middleslice,274.76,81.84,3.36,0.3,2.82,7.02,3.75,
17,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_6_substack_frame_2_middleslice,293,106.23,2.76,0.36,2.74,7.22,3.78,
18,210818_Ulp1-3xeGFP_HighTimeResolution_01_01_R3D_D3D_nucleus_6_substack_frame_3_middleslice,243.43,91.66,2.66,0.38,2.42,6.53,3.4,
19,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_1_substack_frame_1_middleslice,233.17,99.46,2.34,0.43,2.68,6.88,3.64,
20,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_1_substack_frame_2_middleslice,374.36,198.64,1.88,0.53,4.48,11.1,6,
21,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_1_substack_frame_3_middleslice,244.7,135.51,1.81,0.55,2.52,6.53,3.42,
22,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_2_substack_frame_1_middleslice,308.73,124.48,2.48,0.4,3.07,7.54,4.08,
23,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_2_substack_frame_2_middleslice,365.75,145.95,2.51,0.4,3.66,9.35,5,
24,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_2_substack_frame_3_middleslice,290.07,117.92,2.46,0.41,2.66,7.32,3.72,
25,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_3_substack_frame_1_middleslice,281.87,121.93,2.31,0.43,2.68,6.79,3.6,
26,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_3_substack_frame_2_middleslice,234.33,99.47,2.36,0.42,1.48,5.02,2.26,
27,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_3_substack_frame_3_middleslice,233.85,88.49,2.64,0.38,1.49,5.78,2.42,
28,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_4_substack_frame_1_middleslice,313.5,142.92,2.19,0.46,3.68,8.53,4.83,
29,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_4_substack_frame_2_middleslice,302.83,162.77,1.86,0.54,3.14,7.89,4.22,
30,210818_Ulp1-3xeGFP_HighTimeResolution_01_02_R3D_D3D_nucleus_4_substack_frame_3_middleslice,423.18,257.28,1.64,0.61,4.98,11.36,6.49,
31,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_1_substack_frame_1_middleslice,387.85,196.76,1.97,0.51,3.77,8.62,4.86,
32,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_1_substack_frame_2_middleslice,375.51,232.32,1.62,0.62,5.97,13.52,7.76,
33,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_1_substack_frame_3_middleslice,437.15,195.35,2.24,0.45,4.36,10.7,5.83,
34,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_2_substack_frame_1_middleslice,311.62,94,3.32,0.3,2.58,6.49,3.43,
35,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_2_substack_frame_2_middleslice,230.57,60.16,3.83,0.26,1.52,4.78,2.19,
36,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_2_substack_frame_3_middleslice,260.41,112.67,2.31,0.43,2.42,6.81,3.42,
37,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_3_substack_frame_1_middleslice,293.87,140.04,2.1,0.48,2.94,7.23,3.92,
38,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_3_substack_frame_2_middleslice,256.45,88.15,2.91,0.34,1.71,5.07,2.42,
39,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_3_substack_frame_3_middleslice,229.35,115.78,1.98,0.5,2.01,5.46,2.75,
40,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_4_substack_frame_1_middleslice,283.98,143.91,1.97,0.51,2.38,6.52,3.3,
41,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_4_substack_frame_2_middleslice,313.2,112.51,2.78,0.36,2.17,6.18,3.11,
42,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_4_substack_frame_3_middleslice,253.73,55.47,4.57,0.22,0.99,3.79,1.56,
43,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_5_substack_frame_1_middleslice,277.92,143.96,1.93,0.52,3.08,7.55,4.06,
44,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_5_substack_frame_2_middleslice,407.11,237.7,1.71,0.58,4.7,12.33,6.54,
45,210818_Ulp1-3xeGFP_HighTimeResolution_01_03_R3D_D3D_nucleus_5_substack_frame_3_middleslice,284,118.68,2.39,0.42,1.81,5.88,2.73,
46,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_1_substack_frame_1_middleslice,436.24,130.49,3.34,0.3,3.31,7.97,4.36,
47,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_1_substack_frame_2_middleslice,515.18,306.41,1.68,0.59,6.45,13.72,8.16,
48,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_1_substack_frame_3_middleslice,441.08,258.24,1.71,0.59,5.83,12.16,7.32,
49,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_2_substack_frame_1_middleslice,395.38,90.95,4.35,0.23,3.19,7.76,4.2,
50,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_2_substack_frame_2_middleslice,332.89,131.14,2.54,0.39,3.09,8.13,4.29,
51,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_2_substack_frame_3_middleslice,367.49,102.93,3.57,0.28,2.44,6.97,3.52,
52,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_3_substack_frame_1_middleslice,350.18,104.57,3.35,0.3,3.03,7.51,4.08,
53,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_3_substack_frame_2_middleslice,283.34,83.81,3.38,0.3,2.37,6.19,3.21,
54,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_3_substack_frame_3_middleslice,277.04,91.81,3.02,0.33,2.06,5.89,2.88,
55,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_4_substack_frame_1_middleslice,309.33,111.93,2.76,0.36,2.75,7.23,3.79,
56,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_4_substack_frame_2_middleslice,274.36,87.04,3.15,0.32,2.3,6.94,3.33,
57,210818_Ulp1-3xeGFP_HighTimeResolution_01_04_R3D_D3D_nucleus_4_substack_frame_3_middleslice,270.6,81.06,3.34,0.3,1.73,5.36,2.54,
58,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_1_substack_frame_1_middleslice,399.61,118.73,3.37,0.3,3.05,7.44,4.03,
59,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_1_substack_frame_2_middleslice,458.96,198.67,2.31,0.43,4.12,10.92,5.68,
60,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_1_substack_frame_3_middleslice,243.26,76.57,3.18,0.31,1.56,4.92,2.29,
61,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_2_substack_frame_1_middleslice,337.83,139.47,2.42,0.41,2.79,7.17,3.78,
62,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_2_substack_frame_2_middleslice,227.66,92.02,2.47,0.4,1.92,5.56,2.72,
63,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_2_substack_frame_3_middleslice,224.96,53.59,4.2,0.24,1.11,4.09,1.71,
64,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_3_substack_frame_1_middleslice,259.43,103.89,2.5,0.4,2.36,6.09,3.17,
65,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_3_substack_frame_2_middleslice,264.72,111.44,2.38,0.42,2.45,6.37,3.31,
66,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_3_substack_frame_3_middleslice,228.93,74.16,3.09,0.32,1.64,5,2.34,
67,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_4_substack_frame_1_middleslice,306.24,112.53,2.72,0.37,3.04,7.64,4.14,
68,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_4_substack_frame_2_middleslice,251.88,127.02,1.98,0.5,2.82,7.11,3.81,
69,210818_Ulp1-3xeGFP_HighTimeResolution_01_05_R3D_D3D_nucleus_4_substack_frame_3_middleslice,262.71,98.46,2.67,0.37,2.25,6.35,3.17,
70,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_1_substack_frame_1_middleslice,322.87,87.26,3.7,0.27,2.74,6.94,3.7,
71,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_1_substack_frame_2_middleslice,441.32,251.62,1.75,0.57,5.5,12.87,7.23,
72,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_1_substack_frame_3_middleslice,284.28,106.45,2.67,0.37,2.09,5.72,2.91,
73,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_2_substack_frame_1_middleslice,267.31,116.94,2.29,0.44,2.68,6.97,3.64,
74,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_2_substack_frame_2_middleslice,225.57,118.11,1.91,0.52,2.46,6.84,3.44,
75,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_2_substack_frame_3_middleslice,181.17,66.31,2.73,0.37,1.45,4.8,2.15,
76,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_3_substack_frame_1_middleslice,355.77,145.04,2.45,0.41,4.01,9.23,5.2,
77,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_3_substack_frame_2_middleslice,388.53,178.98,2.17,0.46,4.36,12.29,6.25,
78,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_3_substack_frame_3_middleslice,199.71,111.29,1.79,0.56,2.39,6.59,3.33,
79,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_4_substack_frame_1_middleslice,303.45,109.11,2.78,0.36,2.77,7.4,3.86,
80,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_4_substack_frame_2_middleslice,0,0,0,0,0,0,0,
81,210818_Ulp1-3xeGFP_HighTimeResolution_01_06_R3D_D3D_nucleus_4_substack_frame_3_middleslice,239.99,77.68,3.09,0.32,1.88,5.51,2.66,
82,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_1_substack_frame_1_middleslice,384.93,141.02,2.73,0.37,3.43,8.09,4.49,
83,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_1_substack_frame_2_middleslice,282.24,108.68,2.6,0.39,2.24,7.27,3.52,
84,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_1_substack_frame_3_middleslice,246.44,104.38,2.36,0.42,2.05,5.69,2.84,
85,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_2_substack_frame_1_middleslice,298.75,142,2.1,0.48,3.28,7.75,4.28,
86,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_2_substack_frame_2_middleslice,283.77,122.73,2.31,0.43,2.17,6.37,3.12,
87,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_2_substack_frame_3_middleslice,230.26,88.45,2.6,0.38,1.78,5.51,2.61,
88,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_3_substack_frame_1_middleslice,438.67,129.21,3.39,0.29,2.9,7.38,3.93,
89,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_3_substack_frame_2_middleslice,419.86,166.92,2.52,0.4,2.66,7.51,3.75,
90,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_3_substack_frame_3_middleslice,358.14,146.9,2.44,0.41,2.29,6.84,3.32,
91,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_4_substack_frame_1_middleslice,307.37,129.38,2.38,0.42,3.22,7.86,4.26,
92,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_4_substack_frame_2_middleslice,199.98,71.06,2.81,0.36,1.97,5.51,2.74,
93,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_4_substack_frame_3_middleslice,209.61,98.73,2.12,0.47,1.95,5.68,2.74,
94,210818_Ulp1-3xeGFP_HighTimeResolution_01_07_R3D_D3D_nucleus_5_substack_frame_1_middleslice,368.31,155.55,2.37,0.42,3.18,7.85,4.23,
