 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD,,,,,,,,,,,,,,
152,210209_Nup2GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_7_substack_frame_2_middleslice,954.35,633.51,1.51,0.66,2.97,7.64,4.02,,,,,,,,,,,,,,,
153,210209_Nup2GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_7_substack_frame_3_middleslice,990.83,552.75,1.79,0.56,2.95,7.33,3.99,,,,,,,,,,,,,,,
154,210209_Nup2GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_8_substack_frame_1_middleslice,1276.66,668.83,1.91,0.52,3.92,8.85,5.04,,,,,,,,,,,,,,,
155,210209_Nup2GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_8_substack_frame_2_middleslice,743.81,424.15,1.75,0.57,2.16,6.54,3.18,,,,,,,,,,,,,,,
156,210209_Nup2GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_8_substack_frame_3_middleslice,877.32,296.7,2.96,0.34,1.9,5.35,2.65,,,,,,,,,,,,,,,
157,210209_Nup2GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_9_substack_frame_1_middleslice,1314.15,446.41,2.94,0.34,2.81,7.29,3.82,,,,,,,,,,,,,,,
158,210209_Nup2GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_9_substack_frame_2_middleslice,947.73,679.89,1.39,0.72,2.74,7.5,3.91,,,,,,,,,,,,,,,
159,210209_Nup2GFP_HighTimeResolution_01_26_R3D_D3D_nucleus_9_substack_frame_3_middleslice,839.63,363.97,2.31,0.43,2.02,5.84,2.88,,,,,,,,,,,,,,,
160,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1461.38,463.94,3.15,0.32,2.88,7.38,3.92,1,,,,,,,,,,,,,,
161,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_1_substack_frame_2_middleslice,1277.01,845.64,1.51,0.66,2.94,7.89,4.37,,,,,,,,,,,,,,,
162,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_1_substack_frame_3_middleslice,1305.9,635.65,2.05,0.49,3.16,7.54,4.16,,,,,,,,,,,,,,,
163,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1330.19,398.69,3.34,0.3,2.49,6.51,3.38,,,,,,,,,,,,,,,
164,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_2_substack_frame_2_middleslice,1393.42,1143.77,1.22,0.82,4.61,11.04,6.1,,,,,,,,,,,,,,,
165,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_2_substack_frame_3_middleslice,878.58,327.11,2.69,0.37,2.02,5.65,2.8,,,,,,,,,,,,,,,
166,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1177.89,402.54,2.93,0.34,2.56,6.58,3.43,,,,,,,,,,,,,,,
167,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_3_substack_frame_2_middleslice,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
168,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_3_substack_frame_3_middleslice,884.54,267.11,3.31,0.3,1.47,4.73,2.16,,,,,,,,,,,,,,,
169,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1489.77,512.97,2.9,0.34,2.6,6.89,3.57,,,,,,,,,,,,,,,
170,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_4_substack_frame_2_middleslice,820.46,620.68,1.32,0.76,2.77,7.07,3.73,,,,,,,,,,,,,,,
171,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_4_substack_frame_3_middleslice,851.68,479.98,1.77,0.56,3.12,8.44,4.35,,,,,,,,,,,,,,,
172,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_5_substack_frame_1_middleslice,1422.24,468.72,3.03,0.33,2.59,6.88,3.56,,,,,,,,,,,,,,,
173,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_5_substack_frame_2_middleslice,1113.54,618.44,1.8,0.56,2.55,7.02,3.6,,,,,,,,,,,,,,,
174,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_5_substack_frame_3_middleslice,828.22,347.92,2.38,0.42,2.02,5.75,2.81,,,,,,,,,,,,,,,
175,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1052.71,419.42,2.51,0.4,2.89,7.37,3.89,,,,,,,,,,,,,,,
176,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_6_substack_frame_2_middleslice,636.12,392.15,1.62,0.62,2.18,6.56,3.19,,,,,,,,,,,,,,,
177,210209_Nup2GFP_HighTimeResolution_01_27_R3D_D3D_nucleus_6_substack_frame_3_middleslice,576.2,200.45,2.87,0.35,1.27,4.63,1.98,,,,,,,,,,,,,,,
178,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1499.66,626.4,2.39,0.42,3.37,8.11,4.45,,,,,,,,,,,,,,,
179,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_1_substack_frame_2_middleslice,1494.36,1494.18,1,1,5.36,12.04,6.94,,,,,,,,,,,,,,,
180,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_1_substack_frame_3_middleslice,1028.3,411.21,2.5,0.4,2.09,5.72,2.86,,,,,,,,,,,,,,,
181,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1218.23,444.82,2.74,0.37,2.8,7.44,3.86,1,,,,,,,,,,,,,,
182,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_2_substack_frame_2_middleslice,1139.07,974.09,1.17,0.86,4.55,11.08,6.09,,,,,,,,,,,,,,,
183,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_2_substack_frame_3_middleslice,836.32,410.17,2.04,0.49,2.31,6.23,3.15,,,,,,,,,,,,,,,
184,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1209.68,502.88,2.41,0.42,3.17,7.74,4.23,,,,,,,,,,,,,,,
185,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_3_substack_frame_2_middleslice,637.73,301.79,2.11,0.47,1.24,4.31,1.9,,,,,,,,,,,,,,,
186,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_3_substack_frame_3_middleslice,699.31,342.13,2.04,0.49,2.09,5.82,2.91,,,,,,,,,,,,,,,
187,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1430.74,647.02,2.21,0.45,3.74,8.78,4.87,,,,,,,,,,,,,,,
188,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_4_substack_frame_2_middleslice,1315.28,1546.25,0.85,1.18,5.6,12.12,7.14,,,,,,,,,,,,,,,
189,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_4_substack_frame_3_middleslice,989.44,559.71,1.77,0.57,2.39,6.31,3.23,,,,,,,,,,,,,,,
190,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_5_substack_frame_1_middleslice,1286.51,404.43,3.18,0.31,2.89,7.32,3.98,1,,,,,,,,,,,,,,
191,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_5_substack_frame_2_middleslice,1009.41,595.5,1.7,0.59,2.46,6.72,3.4,,,,,,,,,,,,,,,
192,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_5_substack_frame_3_middleslice,1058.02,375.1,2.82,0.35,1.97,5.98,2.88,,,,,,,,,,,,,,,
193,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1395.78,563.04,2.48,0.4,3.08,7.44,4.06,,,,,,,,,,,,,,,
194,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_6_substack_frame_2_middleslice,1143.59,1089.94,1.05,0.95,4.15,9.65,5.41,,,,,,,,,,,,,,,
195,210209_Nup2GFP_HighTimeResolution_01_28_R3D_D3D_nucleus_6_substack_frame_3_middleslice,894.96,487.31,1.84,0.54,2.42,6.53,3.32,,,,,,,,,,,,,,,
196,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_1_substack_frame_1_middleslice,938.94,413.51,2.27,0.44,3.12,7.88,4.19,,,,,,,,,,,,,,,
197,210209_Nup2GFP_HighTimeResolution_01_29_R3D_D3D_nucleus_1_substack_frame_2_middleslice,495.09,343.36,1.44,0.69,1.84,5.2,2.56,,,,,,,,,,,,,,,
