 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD,,,,,,,,,,,,,,
1,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1450.11,446.89,3.24,0.31,2.58,6.68,3.46,,,,,,,,,,,,,,,
2,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_2_middleslice,997.79,747.12,1.34,0.75,2.88,7.54,3.92,,,,,,,,,,,,,,,
3,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_1_substack_frame_3_middleslice,968.62,372.12,2.6,0.38,2.3,6.21,3.16,,,,,,,,,,,,,,,
4,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1324.91,462.88,2.86,0.35,2.56,6.76,3.5,,,,,,,,,,,,,,,
5,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_2_middleslice,984.62,943.65,1.04,0.96,3.98,10.41,5.47,,,,,,,,,,,,,,,
6,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_2_substack_frame_3_middleslice,866.48,418.14,2.07,0.48,2.1,6.02,2.96,,,,,,,,,,,,,,,
7,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1316.22,510.89,2.58,0.39,2.69,7.17,3.67,,,,,,,,,,,,,,,
8,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1152.14,783.14,1.47,0.68,3.8,9.02,4.99,,,,,,,,,,,,,,,
9,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_3_substack_frame_3_middleslice,0,0,0,0,0,0,0,,,,,,,,,,,,,,,#DIV/0!
10,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4_substack_frame_1_middleslice,973.25,330.64,2.94,0.34,2.53,6.82,3.46,,,,,,,,,,,,,,,
11,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4_substack_frame_2_middleslice,917.44,683.07,1.34,0.74,3.26,8.02,4.36,,,,,,,,,,,,,,,
12,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_4_substack_frame_3_middleslice,585.16,281.39,2.08,0.48,1.9,5.44,2.67,,,,,,,,,,,,,,,
13,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_5_substack_frame_1_middleslice,1293.81,542.96,2.38,0.42,3.28,7.75,4.27,,,,,,,,,,,,,,,
14,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_5_substack_frame_2_middleslice,1088.8,794.24,1.37,0.73,3.26,8.11,4.38,,,,,,,,,,,,,,,
15,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_5_substack_frame_3_middleslice,668.92,336.58,1.99,0.5,1.84,5.48,2.62,,,,,,,,,,,,,,,
16,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1167.39,480.92,2.43,0.41,2.91,7.11,3.85,,,,,,,,,,,,,,,
17,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_6_substack_frame_2_middleslice,982.65,755.41,1.3,0.77,3.35,8.2,4.42,,,,,,,,,,,,,,,
18,210209_Nup2GFP_HighTimeResolution_01_21_R3D_D3D_nucleus_6_substack_frame_3_middleslice,711.29,306.61,2.32,0.43,1.56,4.83,2.26,,,,,,,,,,,,,,,
19,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1662.21,585.98,2.84,0.35,3.28,8.03,4.37,,,,,,,,,,,,,,,
20,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_1_substack_frame_2_middleslice,966.7,376.96,2.56,0.39,1.39,4.75,2.3,,,,,,,,,,,,,,,
21,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_1_substack_frame_3_middleslice,855.46,327.2,2.61,0.38,1.54,4.8,2.23,,,,,,,,,,,,,,,
22,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1769.27,525.72,3.37,0.3,3.42,8.04,4.44,,,,,,,,,,,,,,,
23,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_2_substack_frame_2_middleslice,1582.76,1036.31,1.53,0.65,4.16,9.82,5.5,,,,,,,,,,,,,,,
24,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_2_substack_frame_3_middleslice,1033.85,382.9,2.7,0.37,2.27,6,3.08,,,,,,,,,,,,,,,
25,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1221.55,468.37,2.61,0.38,3.12,7.32,4.1,,,,,,,,,,,,,,,
26,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1041.5,956.13,1.09,0.92,4.61,10.64,5.99,,,,,,,,,,,,,,,
27,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_3_substack_frame_3_middleslice,609.3,371.87,1.64,0.61,2.12,6.04,2.97,,,,,,,,,,,,,,,
28,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1617.61,688.02,2.35,0.43,4.2,9.42,5.37,,,,,,,,,,,,,,,
29,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_4_substack_frame_2_middleslice,1450.2,1200.05,1.21,0.83,5.76,13.49,7.59,,,,,,,,,,,,,,,
30,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_4_substack_frame_3_middleslice,901.3,342.66,2.63,0.38,1.89,5.71,2.73,,,,,,,,,,,,,,,
31,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_5_substack_frame_1_middleslice,1706.46,672.81,2.54,0.39,3.24,8,4.43,,,,,,,,,,,,,,,
32,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_5_substack_frame_2_middleslice,1057.74,582.22,1.82,0.55,2.05,5.88,2.89,,,,,,,,,,,,,,,
33,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_5_substack_frame_3_middleslice,1744.49,950.02,1.84,0.54,4.8,11.39,6.35,,,,,,,,,,,,,,,
34,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1212.72,448.9,2.7,0.37,3.19,7.67,4.17,,,,,,,,,,,,,,,
35,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_6_substack_frame_2_middleslice,1303.18,1020.07,1.28,0.78,4.23,11.11,5.83,,,,,,,,,,,,,,,
36,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_6_substack_frame_3_middleslice,765.17,303.53,2.52,0.4,1.7,5.15,2.42,,,,,,,,,,,,,,,
37,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_7_substack_frame_1_middleslice,1283.38,564.52,2.27,0.44,3.26,7.79,4.37,,,,,,,,,,,,,,,
38,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_7_substack_frame_2_middleslice,1712.39,1200.56,1.43,0.7,4.38,12.4,6.26,,,,,,,,,,,,,,,
39,210209_Nup2GFP_HighTimeResolution_01_22_R3D_D3D_nucleus_7_substack_frame_3_middleslice,854.05,405.79,2.1,0.48,1.99,5.72,2.81,,,,,,,,,,,,,,,
40,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1151.25,399.82,2.88,0.35,2.88,7.41,3.89,,,,,,,,,,,,,,,
41,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_1_substack_frame_2_middleslice,690.34,384.63,1.79,0.56,2.2,6.59,3.24,,,,,,,,,,,,,,,
42,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_1_substack_frame_3_middleslice,695.6,340.57,2.04,0.49,2.25,6.07,3.1,,,,,,,,,,,,,,,
43,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1227.25,442.36,2.77,0.36,2.83,7.03,3.79,,,,,,,,,,,,,,,
44,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_2_substack_frame_2_middleslice,957.94,1009.58,0.95,1.05,4.42,10.01,5.76,,,,,,,,,,,,,,,
45,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_2_substack_frame_3_middleslice,814.46,297.71,2.74,0.37,2.1,6.02,2.95,,,,,,,,,,,,,,,
46,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1437.41,407,3.53,0.28,2.97,7.64,4,,,,,,,,,,,,,,,
47,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1174.98,880.41,1.33,0.75,3.59,8.35,4.65,,,,,,,,,,,,,,,
48,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_3_substack_frame_3_middleslice,818.56,352.3,2.32,0.43,1.73,5.46,2.52,,,,,,,,,,,,,,,
49,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1049.92,469.92,2.23,0.45,3.08,7.74,4.19,,,,,,,,,,,,,,,
50,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_4_substack_frame_2_middleslice,567.91,449.39,1.26,0.79,2.13,5.86,2.95,,,,,,,,,,,,,,,
51,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_4_substack_frame_3_middleslice,648.98,245.88,2.64,0.38,1.67,4.93,2.36,,,,,,,,,,,,,,,
52,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_5_substack_frame_1_middleslice,1090.72,537.83,2.03,0.49,2.63,6.74,3.58,,,,,,,,,,,,,,,
53,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_5_substack_frame_2_middleslice,865.3,589.34,1.47,0.68,2.36,6.37,3.22,,,,,,,,,,,,,,,
54,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_5_substack_frame_3_middleslice,917.59,490.75,1.87,0.53,2.66,7.14,3.67,,,,,,,,,,,,,,,
55,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1276.99,452.06,2.82,0.35,3.11,7.59,4.13,,,,,,,,,,,,,,,
56,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_6_substack_frame_2_middleslice,582.62,366.28,1.59,0.63,1.95,5.49,2.69,,,,,,,,,,,,,,,
57,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_6_substack_frame_3_middleslice,611.23,251.2,2.43,0.41,1.84,5.48,2.63,,,,,,,,,,,,,,,
58,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_7_substack_frame_1_middleslice,1573.74,506.45,3.11,0.32,2.63,7.02,3.63,,,,,,,,,,,,,,,
59,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_7_substack_frame_2_middleslice,944.36,432.22,2.18,0.46,1.57,5.02,2.31,,,,,,,,,,,,,,,
60,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_7_substack_frame_3_middleslice,930.59,353.79,2.63,0.38,1.94,5.57,2.72,,,,,,,,,,,,,,,
61,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_8_substack_frame_1_middleslice,1529.5,653.76,2.34,0.43,3.07,7.54,4.05,,,,,,,,,,,,,,,
62,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_8_substack_frame_2_middleslice,1452.44,1313.15,1.11,0.9,4.73,12.01,6.41,,,,,,,,,,,,,,,
63,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_8_substack_frame_3_middleslice,975.23,450.36,2.17,0.46,2.06,5.7,2.83,,,,,,,,,,,,,,,
64,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_9_substack_frame_1_middleslice,1334.29,654.18,2.04,0.49,3.84,8.41,4.87,,,,,,,,,,,,,,,
65,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_9_substack_frame_2_middleslice,1367.13,1247.54,1.1,0.91,5.27,12.43,6.95,,,,,,,,,,,,,,,
66,210209_Nup2GFP_HighTimeResolution_01_23_R3D_D3D_nucleus_9_substack_frame_3_middleslice,720.73,361.74,1.99,0.5,1.92,5.65,2.72,,,,,,,,,,,,,,,
67,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_1_substack_frame_1_middleslice,1442.11,492.47,2.93,0.34,3.15,8,4.28,,,,,,,,,,,,,,,
68,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_1_substack_frame_2_middleslice,865.94,498.46,1.74,0.58,2.03,5.85,2.84,,,,,,,,,,,,,,,
69,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_1_substack_frame_3_middleslice,986.26,360.18,2.74,0.37,1.78,5.33,2.54,,,,,,,,,,,,,,,
70,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1405.13,465.04,3.02,0.33,3.11,7.78,4.21,,,,,,,,,,,,,,,
71,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_2_substack_frame_2_middleslice,1455.49,1193.9,1.22,0.82,5.49,13.66,7.4,,,,,,,,,,,,,,,
72,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_2_substack_frame_3_middleslice,999.71,439.47,2.27,0.44,2.48,6.49,3.35,,,,,,,,,,,,,,,
73,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_3_substack_frame_1_middleslice,868.87,347.17,2.5,0.4,2.18,6.1,3.07,,,,,,,,,,,,,,,
74,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_3_substack_frame_2_middleslice,1109.04,1077.78,1.03,0.97,4.37,10.34,5.76,,,,,,,,,,,,,,,
75,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_3_substack_frame_3_middleslice,833.8,404.34,2.06,0.48,2.15,6.44,3.15,,,,,,,,,,,,,,,
76,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_4_substack_frame_1_middleslice,1377.55,498.46,2.76,0.36,3.28,7.94,4.33,,,,,,,,,,,,,,,
77,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_4_substack_frame_2_middleslice,1307.59,1193.27,1.1,0.91,5.14,11.2,6.52,,,,,,,,,,,,,,,
78,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_4_substack_frame_3_middleslice,1699.65,1056.13,1.61,0.62,5.53,13.64,7.5,,,,,,,,,,,,,,,
79,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_5_substack_frame_1_middleslice,1147.43,359.07,3.2,0.31,2.48,6.59,3.37,,,,,,,,,,,,,,,
80,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_5_substack_frame_2_middleslice,958.9,691.88,1.39,0.72,2.98,7.83,4.08,,,,,,,,,,,,,,,
81,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_5_substack_frame_3_middleslice,1260.84,542.78,2.32,0.43,3.61,10.85,5.36,,,,,,,,,,,,,,,
82,210209_Nup2GFP_HighTimeResolution_01_24_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1482.34,638.69,2.32,0.43,4.1,9.23,5.32,,,,,,,,,,,,,,,
