 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_1_substack_frame_1_middleslice,753.69,224.52,3.36,0.3,3.09,7.57,4.08,
2,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_1_substack_frame_2_middleslice,641.57,227.27,2.82,0.35,2.12,6.41,3.09,
3,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_1_substack_frame_3_middleslice,498.91,130.39,3.83,0.26,1.42,4.59,2.1,
4,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_2_substack_frame_1_middleslice,1036.65,308.25,3.36,0.3,3.51,8.55,4.63,
5,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_2_substack_frame_2_middleslice,1006.59,519.11,1.94,0.52,5.05,12.23,6.8,
6,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_2_substack_frame_3_middleslice,578.71,151.07,3.83,0.26,1.84,5.39,2.59,
7,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_3_substack_frame_1_middleslice,757.24,226.07,3.35,0.3,3.16,7.64,4.16,
8,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_3_substack_frame_2_middleslice,407.76,149.77,2.72,0.37,1.73,5.18,2.48,
9,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_3_substack_frame_3_middleslice,405.84,139.15,2.92,0.34,1.61,5.06,2.37,
10,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_4_substack_frame_1_middleslice,752.43,206.11,3.65,0.27,2.91,7.21,3.91,
11,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_4_substack_frame_2_middleslice,775.39,401.6,1.93,0.52,3.89,10.42,5.42,
12,210422_CoreNups_HighTimeResolution_01_11_R3D_D3D_nucleus_4_substack_frame_3_middleslice,523.16,140.84,3.71,0.27,1.95,5.49,2.72,
13,210422_CoreNups_HighTimeResolution_01_12_R3D_D3D_nucleus_1_substack_frame_1_middleslice,930.72,362.79,2.57,0.39,3.65,8.48,4.75,
14,210422_CoreNups_HighTimeResolution_01_12_R3D_D3D_nucleus_1_substack_frame_2_middleslice,535.36,115.25,4.65,0.22,1.59,4.94,2.33,
15,210422_CoreNups_HighTimeResolution_01_12_R3D_D3D_nucleus_1_substack_frame_3_middleslice,576.8,201.33,2.86,0.35,1.94,5.57,2.7,
16,210422_CoreNups_HighTimeResolution_01_12_R3D_D3D_nucleus_2_substack_frame_1_middleslice,550.06,206.02,2.67,0.37,2.9,7.57,4.01,
17,210422_CoreNups_HighTimeResolution_01_12_R3D_D3D_nucleus_2_substack_frame_2_middleslice,465.94,202.27,2.3,0.43,3.08,7.83,4.21,
18,210422_CoreNups_HighTimeResolution_01_12_R3D_D3D_nucleus_2_substack_frame_3_middleslice,378,100.17,3.77,0.27,1.78,5.51,2.58,
19,210422_CoreNups_HighTimeResolution_01_13_R3D_D3D_nucleus_1_substack_frame_1_middleslice,676.28,187.74,3.6,0.28,2.97,7.43,3.98,
20,210422_CoreNups_HighTimeResolution_01_13_R3D_D3D_nucleus_1_substack_frame_2_middleslice,671.55,346.47,1.94,0.52,3.29,8.79,4.54,
21,210422_CoreNups_HighTimeResolution_01_13_R3D_D3D_nucleus_1_substack_frame_3_middleslice,473.85,142.56,3.32,0.3,1.92,5.75,2.82,
22,210422_CoreNups_HighTimeResolution_01_13_R3D_D3D_nucleus_2_substack_frame_1_middleslice,732.56,183.68,3.99,0.25,2.95,7.43,3.95,
23,210422_CoreNups_HighTimeResolution_01_13_R3D_D3D_nucleus_2_substack_frame_2_middleslice,730.12,367.32,1.99,0.5,4.8,10.83,6.18,
24,210422_CoreNups_HighTimeResolution_01_13_R3D_D3D_nucleus_2_substack_frame_3_middleslice,624.62,205.8,3.04,0.33,2.26,6.45,3.22,
