 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210422_CoreNups_HighTimeResolution_01_01_R3D_D3D_nucleus_1_substack_frame_1_middleslice,862.22,325.97,2.65,0.38,3.93,8.69,4.98,
2,210422_CoreNups_HighTimeResolution_01_01_R3D_D3D_nucleus_1_substack_frame_2_middleslice,638.9,219.76,2.91,0.34,2.58,6.68,3.49,
3,210422_CoreNups_HighTimeResolution_01_01_R3D_D3D_nucleus_1_substack_frame_3_middleslice,537.54,202.15,2.66,0.38,2.47,7.04,3.51,
4,210422_CoreNups_HighTimeResolution_01_01_R3D_D3D_nucleus_2_substack_frame_1_middleslice,674.66,142.21,4.74,0.21,3.21,7.68,4.21,
5,210422_CoreNups_HighTimeResolution_01_01_R3D_D3D_nucleus_2_substack_frame_2_middleslice,620.37,168.02,3.69,0.27,2.33,6.34,3.22,
6,210422_CoreNups_HighTimeResolution_01_01_R3D_D3D_nucleus_2_substack_frame_3_middleslice,565.2,191.55,2.95,0.34,2.41,6.33,3.3,
7,210422_CoreNups_HighTimeResolution_01_02_R3D_D3D_nucleus_1_substack_frame_1_middleslice,636.71,226.22,2.81,0.36,2.79,7.07,3.77,
8,210422_CoreNups_HighTimeResolution_01_02_R3D_D3D_nucleus_1_substack_frame_2_middleslice,561.11,191.88,2.92,0.34,2.65,7.4,3.72,
9,210422_CoreNups_HighTimeResolution_01_02_R3D_D3D_nucleus_1_substack_frame_3_middleslice,483.42,136.98,3.53,0.28,1.81,5.35,2.6,
10,210422_CoreNups_HighTimeResolution_01_02_R3D_D3D_nucleus_2_substack_frame_1_middleslice,498.62,112.84,4.42,0.23,2.45,6.37,3.32,1
11,210422_CoreNups_HighTimeResolution_01_02_R3D_D3D_nucleus_2_substack_frame_2_middleslice,406.47,112.02,3.63,0.28,1.91,5.46,2.74,
12,210422_CoreNups_HighTimeResolution_01_02_R3D_D3D_nucleus_2_substack_frame_3_middleslice,404.53,119.93,3.37,0.3,1.41,4.95,2.17,
13,210422_CoreNups_HighTimeResolution_01_02_R3D_D3D_nucleus_3_substack_frame_1_middleslice,597.01,167.18,3.57,0.28,2.3,6.21,3.15,
