 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
1,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_1_substack_frame_1_middleslice,755.84,220.63,3.43,0.29,2.84,7.23,3.82,
2,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_1_substack_frame_2_middleslice,797.13,399.89,1.99,0.5,4.94,11.66,6.51,
3,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_1_substack_frame_3_middleslice,479.52,193.84,2.47,0.4,2.55,6.75,3.49,
4,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_2_substack_frame_1_middleslice,640.24,233.91,2.74,0.37,2.81,7.1,3.78,
5,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_2_substack_frame_2_middleslice,553.13,120.84,4.58,0.22,1.64,5.09,2.37,
6,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_2_substack_frame_3_middleslice,578.77,153.49,3.77,0.27,1.74,5.28,2.48,
7,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_3_substack_frame_1_middleslice,631.34,223.11,2.83,0.35,2.83,6.9,3.73,
8,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_3_substack_frame_2_middleslice,433.78,116.08,3.74,0.27,1.39,4.56,2.08,
9,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_3_substack_frame_3_middleslice,401.2,161.82,2.48,0.4,1.63,4.9,2.34,
10,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_4_substack_frame_1_middleslice,744.23,261.58,2.85,0.35,2.94,7.57,4.03,
11,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_4_substack_frame_2_middleslice,484.62,158.38,3.06,0.33,1.88,5.7,2.69,
12,210821_VariousHighTimeResolutionMovies_01_11_R3D_D3D_nucleus_4_substack_frame_3_middleslice,486.51,201.37,2.42,0.41,2.06,6.17,2.96,
