 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
321,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_1_substack_frame_1_middleslice,984.7,435.66,2.26,0.44,3.52,8.18,4.55,
322,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_1_substack_frame_2_middleslice,860.75,335.76,2.56,0.39,2.91,7.21,3.87,
323,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_2_substack_frame_1_middleslice,754.71,327.73,2.3,0.43,2.53,6.54,3.39,
324,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_2_substack_frame_2_middleslice,787.6,263.26,2.99,0.33,2.47,6.39,3.33,
325,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_3_substack_frame_1_middleslice,926.84,396.85,2.34,0.43,3.19,7.58,4.15,
326,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_3_substack_frame_2_middleslice,845.85,289.12,2.93,0.34,2.77,6.79,3.66,
327,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_4_substack_frame_1_middleslice,782.7,303.33,2.58,0.39,2.31,6.23,3.16,
328,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_4_substack_frame_2_middleslice,761.54,279.6,2.72,0.37,2.52,6.44,3.36,
329,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_5_substack_frame_1_middleslice,643.73,250.23,2.57,0.39,2.82,6.93,3.75,
330,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_5_substack_frame_2_middleslice,716.76,271.58,2.64,0.38,2.89,7.37,3.87,
331,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_6_substack_frame_1_middleslice,1017.84,400.38,2.54,0.39,3.42,7.99,4.44,
332,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_6_substack_frame_2_middleslice,969.54,453.89,2.14,0.47,3.65,8.22,4.69,
333,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_7_substack_frame_1_middleslice,655.13,248.12,2.64,0.38,1.74,5.19,2.46,
334,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_7_substack_frame_2_middleslice,663.5,208.26,3.19,0.31,1.56,4.92,2.26,
335,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_8_substack_frame_1_middleslice,772.03,341.94,2.26,0.44,2.66,6.67,3.54,
336,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_8_substack_frame_2_middleslice,879.18,388.06,2.27,0.44,3,7.38,3.95,
337,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_9_substack_frame_1_middleslice,752.42,353.99,2.13,0.47,3.73,8.3,4.73,
338,210428_NewpCUPCdc5_Nup60GFP_01_30_R3D_D3D_nucleus_9_substack_frame_2_middleslice,707.4,342.93,2.06,0.48,3.84,8.59,4.88,
