 ,Image,Nuclear.Envelope,Nucleoplasm,NE.Nuc.Ratio,Nuc.NE.Ratio,Nucleoplasmic.Area,WholeNuc.Area,Nuc.Area,BAD
232,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_14_substack_frame_2_middleslice,763.22,179.19,4.26,0.23,1.33,4.5,2.02,
233,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_15_substack_frame_1_middleslice,759.8,296.16,2.57,0.39,2.94,7.32,3.89,
234,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_15_substack_frame_2_middleslice,811.86,266.66,3.04,0.33,2.61,6.72,3.52,
235,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_16_substack_frame_1_middleslice,941.51,253.76,3.71,0.27,2.65,7.54,3.81,
236,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_16_substack_frame_2_middleslice,916.54,273.98,3.35,0.3,2.84,7.51,3.91,
237,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_17_substack_frame_1_middleslice,491.86,264.93,1.86,0.54,3.11,7.87,4.22,
238,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_17_substack_frame_2_middleslice,636.68,191.26,3.33,0.3,2.63,7.36,3.77,
239,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_18_substack_frame_1_middleslice,528.92,281.32,1.88,0.53,2.67,6.68,3.53,
240,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_18_substack_frame_2_middleslice,598.81,249.12,2.4,0.42,2.52,6.34,3.38,
241,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_1_substack_frame_1_middleslice,892.73,349.96,2.55,0.39,3.44,8.01,4.52,
242,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_1_substack_frame_2_middleslice,955.68,267.74,3.57,0.28,3.02,7.8,4.31,
243,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_2_substack_frame_1_middleslice,848.3,290.15,2.92,0.34,2.83,7.5,3.91,
244,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_2_substack_frame_2_middleslice,831.42,281.5,2.95,0.34,3.92,9.08,5.15,
245,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_3_substack_frame_1_middleslice,760.32,348.37,2.18,0.46,3.3,7.78,4.3,
246,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_3_substack_frame_2_middleslice,898.18,304.64,2.95,0.34,2.81,7.01,3.77,
247,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_4_substack_frame_1_middleslice,632.64,236.39,2.68,0.37,2.58,6.59,3.53,
248,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_4_substack_frame_2_middleslice,772.73,440.15,1.76,0.57,4.4,9.53,5.58,
249,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_5_substack_frame_1_middleslice,605.66,268.73,2.25,0.44,2.65,6.56,3.52,
250,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_5_substack_frame_2_middleslice,624.7,308.51,2.02,0.49,2.69,6.7,3.57,
251,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_6_substack_frame_1_middleslice,908.86,426.24,2.13,0.47,3.7,8.45,4.78,
252,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_6_substack_frame_2_middleslice,1053.32,470.95,2.24,0.45,3.58,8.43,4.68,
253,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_7_substack_frame_1_middleslice,884.98,386.53,2.29,0.44,3.46,8.29,4.56,1
254,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_7_substack_frame_2_middleslice,1048.97,475.96,2.2,0.45,4.45,10.15,5.81,
255,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_8_substack_frame_1_middleslice,967.69,405.59,2.39,0.42,3.73,8.77,4.9,
256,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_8_substack_frame_2_middleslice,1037.49,335.25,3.09,0.32,3.56,8.41,4.65,
257,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_9_substack_frame_1_middleslice,732.38,239.89,3.05,0.33,2.82,7.21,3.8,
258,210428_NewpCUPCdc5_Nup60GFP_01_18_R3D_D3D_nucleus_9_substack_frame_2_middleslice,658.41,203.98,3.23,0.31,2.42,6.6,3.37,
259,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_10_substack_frame_1_middleslice,722.83,261.56,2.76,0.36,2.15,6.86,3.28,
260,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_10_substack_frame_2_middleslice,661.18,288.05,2.3,0.44,2.33,6.34,3.22,
261,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_11_substack_frame_1_middleslice,829.95,331.45,2.5,0.4,3.17,7.55,4.16,
262,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_11_substack_frame_2_middleslice,847.02,363.89,2.33,0.43,3.53,8.29,4.59,
263,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_1_substack_frame_1_middleslice,900.28,304.23,2.96,0.34,3.22,8.65,4.58,
264,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_1_substack_frame_2_middleslice,0,0,0,0,0,0,0,
265,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_2_substack_frame_1_middleslice,687.62,239.56,2.87,0.35,2.84,6.95,3.77,
266,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_2_substack_frame_2_middleslice,666.66,191.33,3.48,0.29,2.19,6.02,3.04,
267,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_3_substack_frame_1_middleslice,1027.6,492.97,2.08,0.48,3.87,8.72,4.98,
268,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_3_substack_frame_2_middleslice,949.84,320.41,2.96,0.34,3.25,8.1,4.34,
269,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_4_substack_frame_1_middleslice,731.69,343.65,2.13,0.47,3.31,7.88,4.31,
270,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_4_substack_frame_2_middleslice,694.74,311.68,2.23,0.45,3.07,8.01,4.17,
271,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_5_substack_frame_1_middleslice,612.8,221.37,2.77,0.36,1.7,5.06,2.4,
272,210428_NewpCUPCdc5_Nup60GFP_01_19_R3D_D3D_nucleus_5_substack_frame_2_middleslice,607.34,180.32,3.37,0.3,1.64,5,2.36,
